Number of groups: 820
Flow 33: {1 9} 
Flow 37: {11 59} 
Flow 40: {9 95} 
Flow 70: {1 3} 
Flow 70: {3 107} 
Flow 116: {2 32} 
Flow 202: {125 263} 
Flow 221: {1 10} 
Flow 234: {122 92} 
Flow 234: {92 23} 
Flow 237: {3 28} 
Flow 242: {3 71} 
Flow 266: {3 11} 
Flow 292: {1 8} 
Flow 299: {3 102} 
Flow 344: {4 11} 
Flow 376: {55 193} 
Flow 387: {66 204} 
Flow 398: {9 87} 
Flow 431: {121 259} 
Flow 445: {135 273} 
Flow 463: {71 67} 
Flow 517: {5 11} 
Flow 540: {5 102} 
Flow 558: {64 123} 
Flow 576: {1 5} 
Flow 582: {9 12} 
Flow 599: {3 31} 
Flow 652: {1 4} 
Flow 658: {90 228} 
Flow 676: {111 249} 
Flow 681: {6 1} 
Flow 682: {1 7} 
Flow 693: {129 267} 
Flow 699: {101 135} 
Flow 712: {7 13} 
Flow 716: {95 34} 
Flow 755: {7 60} 
Flow 766: {71 72} 
Flow 783: {74 90} 
Flow 795: {105 243} 
Flow 800: {11 111} 
Flow 894: {8 87} 
Flow 897: {8 71} 
Flow 899: {94 93} 
Flow 922: {126 124} 
Flow 945: {9 13} 
Flow 961: {5 32} 
Flow 969: {9 71} 
Flow 988: {9 60} 
Flow 996: {43 68} 
Flow 997: {70 208} 
Flow 1003: {9 79} 
Flow 1017: {9 117} 
Flow 1017: {24 93} 
Flow 1018: {95 94} 
Flow 1028: {1 2} 
Flow 1035: {9 116} 
Flow 1038: {119 257} 
Flow 1151: {132 270} 
Flow 1156: {12 31} 
Flow 1173: {12 25} 
Flow 1201: {12 4} 
Flow 1211: {12 27} 
Flow 1236: {25 105} 
Flow 1238: {5 107} 
Flow 1246: {95 121} 
Flow 1262: {13 3} 
Flow 1263: {13 10} 
Flow 1273: {13 4} 
Flow 1276: {13 8} 
Flow 1278: {95 131} 
Flow 1281: {95 9} 
Flow 1289: {95 10} 
Flow 1296: {14 18} 
Flow 1324: {15 21} 
Flow 1330: {15 34} 
Flow 1332: {14 15} 
Flow 1349: {14 16} 
Flow 1377: {73 71} 
Flow 1380: {106 244} 
Flow 1418: {10 148} 
Flow 1437: {15 33} 
Flow 1442: {38 176} 
Flow 1598: {16 38} 
Flow 1648: {17 14} 
Flow 1659: {17 15} 
Flow 1714: {101 239} 
Flow 1727: {17 16} 
Flow 1732: {17 33} 
Flow 1734: {65 128} 
Flow 1737: {131 269} 
Flow 1758: {14 17} 
Flow 1759: {19 157} 
Flow 1769: {18 35} 
Flow 1770: {33 171} 
Flow 1788: {15 16} 
Flow 1791: {18 15} 
Flow 1792: {35 21} 
Flow 1833: {21 67} 
Flow 1849: {18 34} 
Flow 1889: {20 22} 
Flow 1899: {41 179} 
Flow 1902: {41 44} 
Flow 1930: {72 210} 
Flow 1936: {7 79} 
Flow 1946: {89 227} 
Flow 1950: {20 94} 
Flow 1995: {6 144} 
Flow 2033: {43 56} 
Flow 2073: {7 87} 
Flow 2083: {34 99} 
Flow 2108: {126 264} 
Flow 2141: {22 19} 
Flow 2174: {22 60} 
Flow 2212: {2 102} 
Flow 2217: {71 2} 
Flow 2256: {23 19} 
Flow 2260: {31 169} 
Flow 2270: {60 42} 
Flow 2298: {92 60} 
Flow 2302: {23 92} 
Flow 2310: {23 93} 
Flow 2312: {92 95} 
Flow 2326: {23 91} 
Flow 2347: {117 9} 
Flow 2352: {21 15} 
Flow 2407: {59 11} 
Flow 2409: {10 79} 
Flow 2420: {122 90} 
Flow 2426: {91 97} 
Flow 2427: {24 91} 
Flow 2431: {104 242} 
Flow 2449: {19 22} 
Flow 2452: {24 92} 
Flow 2466: {25 71} 
Flow 2481: {25 12} 
Flow 2484: {12 32} 
Flow 2485: {38 33} 
Flow 2491: {67 40} 
Flow 2578: {26 71} 
Flow 2585: {15 153} 
Flow 2598: {26 12} 
Flow 2656: {92 230} 
Flow 2667: {26 105} 
Flow 2679: {91 119} 
