Number of groups: 820
Flow 33: {1 9 0} 
Flow 37: {11 59 0} 
Flow 40: {9 95 0} 
Flow 70: {1 3 0} 
Flow 70: {3 107 0} 
Flow 116: {2 32 0} 
Flow 202: {125 263 0} 
Flow 221: {1 10 0} 
Flow 234: {122 92 0} 
Flow 234: {92 23 0} 
Flow 237: {3 28 0} 
Flow 242: {3 71 0} 
Flow 266: {3 11 0} 
Flow 292: {1 8 0} 
Flow 299: {3 102 0} 
Flow 344: {4 11 0} 
Flow 376: {55 193 0} 
Flow 387: {66 204 0} 
Flow 398: {9 87 0} 
Flow 431: {121 259 0} 
Flow 445: {135 273 0} 
Flow 463: {71 67 0} 
Flow 517: {5 11 0} 
Flow 540: {5 102 0} 
Flow 558: {64 123 0} 
Flow 576: {1 5 0} 
Flow 582: {9 12 0} 
Flow 599: {3 31 0} 
Flow 652: {1 4 0} 
Flow 658: {90 228 0} 
Flow 676: {111 249 0} 
Flow 681: {6 1 0} 
Flow 682: {1 7 0} 
Flow 693: {129 267 0} 
Flow 699: {101 135 0} 
Flow 712: {7 13 0} 
Flow 716: {95 34 0} 
Flow 755: {7 60 0} 
Flow 766: {71 72 0} 
Flow 783: {74 90 0} 
Flow 795: {105 243 0} 
Flow 800: {11 111 0} 
Flow 894: {8 87 0} 
Flow 897: {8 71 0} 
Flow 899: {94 93 0} 
Flow 922: {126 124 0} 
Flow 945: {9 13 0} 
Flow 961: {5 32 0} 
Flow 969: {9 71 0} 
Flow 988: {9 60 0} 
Flow 996: {43 68 0} 
Flow 997: {70 208 0} 
Flow 1003: {9 79 0} 
Flow 1017: {9 117 0} 
Flow 1017: {24 93 0} 
Flow 1018: {95 94 0} 
Flow 1028: {1 2 0} 
Flow 1035: {9 116 0} 
Flow 1038: {119 257 0} 
Flow 1151: {132 270 0} 
Flow 1156: {12 31 0} 
Flow 1173: {12 25 0} 
Flow 1201: {12 4 0} 
Flow 1211: {12 27 0} 
Flow 1236: {25 105 0} 
Flow 1238: {5 107 0} 
Flow 1246: {95 121 0} 
Flow 1262: {13 3 0} 
Flow 1263: {13 10 0} 
Flow 1273: {13 4 0} 
Flow 1276: {13 8 0} 
Flow 1278: {95 131 0} 
Flow 1281: {95 9 0} 
Flow 1289: {95 10 0} 
Flow 1296: {14 18 0} 
Flow 1324: {15 21 0} 
Flow 1330: {15 34 0} 
Flow 1332: {14 15 0} 
Flow 1349: {14 16 0} 
Flow 1377: {73 71 0} 
Flow 1380: {106 244 0} 
Flow 1418: {10 148 0} 
Flow 1437: {15 33 0} 
Flow 1442: {38 176 0} 
Flow 1598: {16 38 0} 
Flow 1648: {17 14 0} 
Flow 1659: {17 15 0} 
Flow 1714: {101 239 0} 
Flow 1727: {17 16 0} 
Flow 1732: {17 33 0} 
Flow 1734: {65 128 0} 
Flow 1737: {131 269 0} 
Flow 1758: {14 17 0} 
Flow 1759: {19 157 0} 
Flow 1769: {18 35 0} 
Flow 1770: {33 171 0} 
Flow 1788: {15 16 0} 
Flow 1791: {18 15 0} 
Flow 1792: {35 21 0} 
Flow 1833: {21 67 0} 
Flow 1849: {18 34 0} 
Flow 1889: {20 22 0} 
Flow 1899: {41 179 0} 
Flow 1902: {41 44 0} 
Flow 1930: {72 210 0} 
Flow 1936: {7 79 0} 
Flow 1946: {89 227 0} 
Flow 1950: {20 94 0} 
Flow 1995: {6 144 0} 
Flow 2033: {43 56 0} 
Flow 2073: {7 87 0} 
Flow 2083: {34 99 0} 
Flow 2108: {126 264 0} 
Flow 2141: {22 19 0} 
Flow 2174: {22 60 0} 
Flow 2212: {2 102 0} 
Flow 2217: {71 2 0} 
Flow 2256: {23 19 0} 
Flow 2260: {31 169 0} 
Flow 2270: {60 42 0} 
Flow 2298: {92 60 0} 
Flow 2302: {23 92 0} 
Flow 2310: {23 93 0} 
Flow 2312: {92 95 0} 
Flow 2326: {23 91 0} 
Flow 2347: {117 9 0} 
Flow 2352: {21 15 0} 
Flow 2407: {59 11 0} 
Flow 2409: {10 79 0} 
Flow 2420: {122 90 0} 
Flow 2426: {91 97 0} 
Flow 2427: {24 91 0} 
Flow 2431: {104 242 0} 
Flow 2449: {19 22 0} 
Flow 2452: {24 92 0} 
Flow 2466: {25 71 0} 
Flow 2481: {25 12 0} 
Flow 2484: {12 32 0} 
Flow 2485: {38 33 0} 
Flow 2491: {67 40 0} 
Flow 2578: {26 71 0} 
Flow 2585: {15 153 0} 
Flow 2598: {26 12 0} 
Flow 2656: {92 230 0} 
Flow 2667: {26 105 0} 
Flow 2679: {91 119 0} 
Flow 2721: {27 12 0} 
Flow 2731: {43 39 0} 
Flow 2732: {27 71 0} 
