Number of groups: 455
Flow 11: {107 68} 
Flow 12: {2 86} 
Flow 13: {134 133} 
Flow 43: {6 7} 
Flow 49: {156 62} 
Flow 64: {4 6} 
Flow 105: {6 4} 
Flow 107: {49 48} 
Flow 108: {34 37} 
Flow 153: {9 8} 
Flow 159: {151 62} 
Flow 165: {9 10} 
Flow 165: {88 246} 
Flow 187: {10 9} 
Flow 193: {17 18} 
Flow 210: {40 39} 
Flow 220: {55 56} 
Flow 226: {80 64} 
Flow 230: {78 70} 
Flow 230: {70 71} 
Flow 233: {73 75} 
Flow 250: {128 79} 
Flow 251: {10 8} 
Flow 254: {83 105} 
Flow 266: {100 122} 
Flow 280: {135 138} 
Flow 286: {147 148} 
Flow 332: {102 260} 
Flow 354: {10 22} 
Flow 362: {13 14} 
Flow 388: {68 107} 
Flow 403: {125 51} 
Flow 414: {158 316} 
Flow 431: {12 19} 
Flow 445: {18 17} 
Flow 452: {18 15} 
Flow 456: {11 14} 
Flow 474: {15 16} 
Flow 481: {17 12} 
Flow 481: {12 11} 
Flow 490: {16 19} 
Flow 499: {9 167} 
Flow 506: {18 176} 
Flow 515: {31 189} 
Flow 524: {47 42} 
Flow 524: {42 45} 
Flow 524: {45 203} 
Flow 531: {54 55} 
Flow 531: {55 213} 
Flow 544: {73 74} 
Flow 545: {75 233} 
Flow 549: {81 239} 
Flow 550: {105 83} 
Flow 559: {132 125} 
Flow 564: {20 108} 
Flow 565: {104 262} 
Flow 578: {14 13} 
Flow 582: {127 285} 
Flow 587: {133 291} 
Flow 591: {137 295} 
Flow 599: {52 150} 
Flow 602: {136 50} 
Flow 609: {23 24} 
Flow 647: {108 105} 
Flow 651: {107 110} 
Flow 653: {2 160} 
Flow 659: {19 16} 
Flow 661: {17 175} 
Flow 663: {23 181} 
Flow 663: {37 38} 
Flow 667: {33 34} 
Flow 684: {79 237} 
Flow 689: {27 98} 
Flow 738: {101 102} 
Flow 744: {35 85} 
Flow 750: {24 30} 
Flow 755: {5 49} 
Flow 761: {29 53} 
Flow 772: {38 37} 
Flow 775: {24 23} 
Flow 794: {5 163} 
Flow 816: {60 57} 
Flow 823: {34 35} 
Flow 826: {10 87} 
Flow 834: {31 132} 
Flow 834: {117 36} 
Flow 868: {12 17} 
Flow 868: {110 107} 
Flow 895: {93 94} 
Flow 924: {23 29} 
Flow 924: {117 119} 
Flow 940: {30 23} 
Flow 940: {53 54} 
Flow 945: {129 130} 
Flow 960: {11 12} 
Flow 988: {32 35} 
Flow 1000: {110 83} 
Flow 1006: {93 76} 
Flow 1011: {123 281} 
Flow 1014: {32 85} 
Flow 1029: {4 162} 
Flow 1034: {8 9} 
Flow 1045: {22 180} 
Flow 1067: {56 214} 
Flow 1073: {64 222} 
Flow 1077: {71 72} 
Flow 1077: {72 230} 
Flow 1079: {74 232} 
Flow 1086: {86 244} 
Flow 1087: {87 245} 
Flow 1108: {114 113} 
Flow 1108: {113 271} 
Flow 1118: {128 286} 
Flow 1133: {146 147} 
Flow 1149: {138 47} 
Flow 1155: {119 101} 
Flow 1184: {39 40} 
Flow 1186: {11 19} 
Flow 1193: {34 192} 
Flow 1199: {50 208} 
Flow 1204: {62 220} 
Flow 1206: {39 84} 
Flow 1223: {91 99} 
Flow 1249: {58 129} 
Flow 1250: {78 152} 
Flow 1267: {35 32} 
Flow 1267: {40 34} 
Flow 1300: {130 288} 
Flow 1317: {43 88} 
Flow 1317: {144 143} 
Flow 1320: {41 44} 
Flow 1325: {88 144} 
Flow 1332: {53 29} 
Flow 1340: {143 158} 
Flow 1345: {44 43} 
Flow 1380: {138 135} 
Flow 1402: {68 19} 
Flow 1404: {49 5} 
Flow 1405: {144 88} 
Flow 1408: {45 42} 
Flow 1418: {42 47} 
Flow 1432: {46 47} 
