Number of groups: 535
Flow 43: {142 134} 
Flow 55: {18 133} 
Flow 113: {1 15} 
Flow 170: {143 23} 
Flow 189: {104 19} 
Flow 220: {2 18} 
Flow 231: {84 233} 
Flow 239: {92 241} 
Flow 257: {92 110} 
Flow 262: {121 115} 
Flow 306: {17 11} 
Flow 321: {4 126} 
Flow 389: {3 4} 
Flow 446: {2 151} 
Flow 448: {97 96} 
Flow 480: {40 37} 
Flow 494: {51 200} 
Flow 599: {7 8} 
Flow 601: {10 159} 
Flow 644: {17 96} 
Flow 723: {132 281} 
Flow 777: {6 5} 
Flow 787: {12 99} 
Flow 799: {97 94} 
Flow 826: {62 34} 
Flow 841: {96 12} 
Flow 849: {95 93} 
Flow 855: {99 42} 
Flow 884: {5 17} 
Flow 980: {9 10} 
Flow 1103: {10 15} 
Flow 1113: {15 95} 
Flow 1130: {8 9} 
Flow 1249: {66 215} 
Flow 1479: {148 297} 
Flow 1493: {96 97} 
Flow 1527: {42 48} 
Flow 1614: {135 284} 
Flow 1619: {11 17} 
Flow 1630: {12 101} 
Flow 1654: {27 176} 
Flow 1693: {41 66} 
Flow 1693: {42 102} 
Flow 1697: {70 219} 
Flow 1706: {34 130} 
Flow 1804: {143 29} 
Flow 1836: {131 61} 
Flow 1917: {13 118} 
Flow 1935: {126 133} 
Flow 1998: {148 147} 
Flow 2030: {107 256} 
Flow 2035: {148 137} 
Flow 2065: {14 148} 
Flow 2162: {91 240} 
Flow 2196: {125 274} 
Flow 2256: {16 126} 
Flow 2270: {16 132} 
Flow 2411: {133 126} 
Flow 2428: {61 210} 
Flow 2574: {59 208} 
Flow 2767: {104 253} 
Flow 2834: {20 143} 
Flow 2845: {57 58} 
Flow 2997: {38 187} 
Flow 3127: {22 27} 
Flow 3133: {26 175} 
Flow 3200: {27 28} 
Flow 3247: {140 289} 
Flow 3304: {49 198} 
Flow 3312: {143 20} 
Flow 3373: {59 118} 
Flow 3396: {23 143} 
Flow 3407: {145 21} 
Flow 3413: {10 9} 
