OKAY
Number of groups: 525
Flow 83: {1 86 0} 
Flow 166: {47 205 0} 
Flow 388: {27 185 0} 
Flow 400: {44 41 0} 
Flow 405: {49 48 0} 
Flow 432: {77 235 0} 
Flow 482: {3 133 0} 
Flow 502: {7 158 0} 
Flow 652: {4 6 0} 
Flow 740: {127 285 0} 
Flow 776: {5 49 0} 
Flow 969: {9 8 0} 
Flow 1011: {9 10 0} 
Flow 1021: {109 102 0} 
Flow 1063: {78 153 0} 
Flow 1104: {43 201 0} 
Flow 1136: {79 237 0} 
Flow 1325: {54 53 0} 
Flow 1327: {12 11 0} 
Flow 1404: {114 113 0} 
Flow 1509: {69 227 0} 
Flow 1573: {136 294 0} 
Flow 1591: {155 313 0} 
Flow 1661: {74 232 0} 
Flow 1744: {3 161 0} 
Flow 1756: {15 18 0} 
Flow 1791: {152 151 0} 
Flow 1810: {82 240 0} 
Flow 1819: {91 249 0} 
Flow 1831: {15 16 0} 
Flow 1865: {87 134 0} 
Flow 1914: {36 194 0} 
Flow 1923: {135 138 0} 
Flow 1965: {101 119 0} 
Flow 1999: {129 287 0} 
Flow 2028: {12 19 0} 
Flow 2167: {68 107 0} 
Flow 2183: {18 17 0} 
Flow 2198: {29 187 0} 
Flow 2218: {54 55 0} 
Flow 2228: {17 12 0} 
Flow 2262: {18 15 0} 
Flow 2263: {16 19 0} 
Flow 2333: {31 85 0} 
Flow 2385: {14 13 0} 
Flow 2419: {102 101 0} 
Flow 2444: {122 145 0} 
Flow 2508: {20 108 0} 
Flow 2513: {66 224 0} 
Flow 2541: {108 107 0} 
Flow 2559: {111 114 0} 
Flow 2583: {134 139 0} 
Flow 2638: {110 83 0} 
Flow 2651: {108 266 0} 
Flow 2670: {141 299 0} 
Flow 2721: {107 68 0} 
Flow 2826: {10 87 0} 
Flow 2872: {52 210 0} 
Flow 2903: {53 54 0} 
Flow 2914: {34 33 0} 
Flow 2984: {38 37 0} 
Flow 2999: {24 30 0} 
Flow 3011: {42 45 0} 
Flow 3047: {24 23 0} 
