Number of groups: 488
Flow 3: {1 15} 
Flow 4: {62 34} 
Flow 10: {2 18} 
Flow 37: {124 73} 
Flow 38: {71 40} 
Flow 79: {5 17} 
Flow 83: {6 5} 
Flow 87: {7 6} 
Flow 89: {8 9} 
Flow 102: {7 8} 
Flow 104: {9 10} 
Flow 105: {10 15} 
Flow 106: {15 95} 
Flow 125: {67 41} 
Flow 137: {96 97} 
Flow 147: {12 101} 
Flow 155: {101 94} 
Flow 174: {63 62} 
Flow 176: {35 74} 
Flow 193: {101 98} 
Flow 196: {98 104} 
Flow 201: {108 111} 
Flow 204: {12 99} 
Flow 229: {13 118} 
Flow 232: {52 141} 
Flow 239: {14 148} 
Flow 239: {148 147} 
Flow 252: {20 169} 
Flow 261: {35 184} 
Flow 265: {42 102} 
Flow 265: {103 67} 
Flow 274: {19 42} 
Flow 332: {16 126} 
Flow 333: {95 94} 
Flow 337: {26 175} 
Flow 351: {72 89} 
Flow 368: {16 132} 
Flow 376: {71 121} 
Flow 380: {17 96} 
Flow 393: {24 173} 
Flow 403: {100 104} 
Flow 411: {76 225} 
Flow 414: {81 80} 
Flow 430: {92 110} 
Flow 441: {129 278} 
Flow 481: {16 165} 
Flow 485: {60 57} 
Flow 501: {30 140} 
Flow 501: {86 79} 
Flow 504: {51 26} 
Flow 518: {20 143} 
Flow 521: {58 51} 
Flow 545: {145 28} 
Flow 554: {73 32} 
Flow 569: {59 54} 
Flow 575: {127 65} 
Flow 588: {82 231} 
Flow 599: {96 245} 
Flow 613: {113 262} 
Flow 632: {136 137} 
Flow 646: {28 145} 
Flow 659: {23 143} 
Flow 673: {143 30} 
Flow 676: {24 23} 
Flow 679: {22 27} 
Flow 685: {27 28} 
Flow 691: {18 95} 
Flow 731: {21 142} 
Flow 737: {107 256} 
Flow 741: {141 91} 
Flow 749: {126 275} 
Flow 752: {87 130} 
Flow 769: {101 12} 
Flow 775: {103 252} 
Flow 825: {82 83} 
Flow 839: {98 247} 
Flow 848: {113 112} 
Flow 849: {30 52} 
Flow 872: {145 149} 
Flow 874: {31 127} 
Flow 899: {143 59} 
Flow 903: {78 227} 
Flow 909: {116 117} 
Flow 919: {87 80} 
Flow 919: {141 290} 
Flow 926: {74 35} 
Flow 928: {124 132} 
Flow 932: {80 82} 
Flow 940: {36 33} 
Flow 940: {80 81} 
Flow 941: {62 211} 
Flow 950: {104 107} 
Flow 951: {131 115} 
Flow 954: {33 130} 
Flow 960: {134 283} 
Flow 961: {130 87} 
Flow 985: {38 123} 
Flow 985: {123 77} 
Flow 985: {77 39} 
Flow 987: {38 76} 
Flow 988: {37 40} 
Flow 1006: {82 25} 
Flow 1007: {76 38} 
Flow 1040: {17 5} 
Flow 1040: {102 42} 
Flow 1043: {99 12} 
Flow 1045: {148 14} 
Flow 1047: {127 128} 
Flow 1048: {104 100} 
Flow 1052: {23 172} 
Flow 1052: {140 30} 
Flow 1059: {130 33} 
Flow 1067: {42 48} 
Flow 1067: {48 197} 
Flow 1078: {132 124} 
Flow 1085: {126 132} 
Flow 1087: {84 233} 
Flow 1097: {42 19} 
Flow 1107: {52 88} 
Flow 1108: {114 263} 
Flow 1110: {52 118} 
Flow 1114: {122 271} 
Flow 1123: {129 3} 
Flow 1127: {140 289} 
Flow 1129: {142 291} 
Flow 1135: {15 1} 
Flow 1135: {1 150} 
Flow 1136: {18 2} 
Flow 1136: {2 151} 
Flow 1137: {3 152} 
Flow 1144: {13 162} 
Flow 1145: {14 163} 
Flow 1148: {17 166} 
Flow 1158: {28 177} 
Flow 1161: {127 31} 
Flow 1161: {31 180} 
Flow 1162: {32 181} 
Flow 1163: {132 63} 
Flow 1164: {34 183} 
Flow 1167: {37 186} 
Flow 1172: {45 46} 
Flow 1174: {46 195} 
Flow 1176: {46 129} 
Flow 1177: {26 51} 
Flow 1177: {51 200} 
Flow 1179: {54 53} 
Flow 1179: {53 202} 
Flow 1179: {145 140} 
Flow 1180: {54 203} 
Flow 1181: {55 204} 
Flow 1182: {29 55} 
Flow 1182: {55 56} 
Flow 1182: {56 205} 
Flow 1184: {131 61} 
Flow 1184: {61 210} 
Flow 1187: {41 64} 
Flow 1189: {67 216} 
Flow 1191: {69 218} 
Flow 1192: {131 70} 
Flow 1192: {70 219} 
Flow 1198: {77 226} 
Flow 1198: {109 108} 
Flow 1206: {131 85} 
Flow 1207: {87 236} 
Flow 1208: {88 237} 
Flow 1212: {92 241} 
Flow 1213: {93 242} 
Flow 1219: {101 250} 
Flow 1232: {116 115} 
Flow 1232: {115 264} 
Flow 1233: {116 265} 
Flow 1236: {42 45} 
Flow 1237: {121 120} 
Flow 1251: {139 138} 
Flow 1260: {147 148} 
Flow 1260: {148 297} 
Flow 1263: {121 270} 
Flow 1264: {43 149} 
Flow 1265: {130 279} 
Flow 1271: {5 6} 
Flow 1271: {96 17} 
Flow 1294: {65 214} 
Flow 1299: {80 229} 
Flow 1303: {130 72} 
Flow 1314: {106 109} 
Flow 1328: {137 286} 
Flow 1365: {79 228} 
Flow 1379: {42 107} 
Flow 1383: {112 261} 
Flow 1407: {47 11} 
Flow 1410: {11 17} 
Flow 1413: {48 42} 
Flow 1447: {49 46} 
Flow 1453: {49 45} 
Flow 1472: {145 294} 
Flow 1492: {45 42} 
Flow 1499: {51 58} 
Flow 1499: {58 57} 
Flow 1501: {8 7} 
Flow 1508: {15 164} 
Flow 1509: {132 16} 
Flow 1520: {52 30} 
Flow 1533: {118 59} 
Flow 1550: {131 84} 
Flow 1581: {127 276} 
Flow 1581: {141 145} 
Flow 1590: {138 287} 
Flow 1607: {23 24} 
Flow 1608: {143 23} 
Flow 1615: {59 143} 
Flow 1617: {54 59} 
Flow 1625: {20 60} 
Flow 1626: {57 58} 
Flow 1639: {128 277} 
Flow 1644: {59 118} 
Flow 1646: {118 52} 
Flow 1672: {95 100} 
Flow 1710: {55 29} 
Flow 1715: {29 143} 
Flow 1716: {95 244} 
Flow 1725: {131 121} 
Flow 1726: {145 21} 
Flow 1740: {56 55} 
Flow 1741: {128 127} 
Flow 1743: {59 208} 
Flow 1754: {56 53} 
Flow 1760: {25 82} 
Flow 1760: {132 131} 
Flow 1762: {89 72} 
Flow 1766: {57 60} 
Flow 1766: {60 20} 
Flow 1775: {140 145} 
Flow 1778: {22 171} 
Flow 1785: {40 37} 
Flow 1786: {39 188} 
Flow 1801: {74 223} 
Flow 1827: {118 88} 
Flow 1834: {125 124} 
