Number of groups: 753
Flow 1: {1 2} 
Flow 3: {1 5} 
Flow 85: {2 32} 
Flow 102: {61 199} 
Flow 125: {71 74} 
Flow 147: {133 271} 
Flow 156: {1 7} 
Flow 168: {91 24} 
Flow 174: {28 12} 
Flow 183: {3 71} 
Flow 215: {9 79} 
Flow 221: {9 87} 
Flow 226: {1 8} 
Flow 240: {107 2} 
Flow 243: {3 11} 
Flow 260: {3 1} 
Flow 278: {34 18} 
Flow 283: {9 117} 
Flow 289: {4 11} 
Flow 300: {49 187} 
Flow 311: {9 95} 
Flow 327: {4 1} 
Flow 365: {7 1} 
Flow 368: {7 71} 
Flow 418: {7 79} 
Flow 452: {120 258} 
Flow 459: {95 131} 
Flow 463: {136 274} 
Flow 484: {27 165} 
Flow 490: {38 33} 
Flow 508: {54 192} 
Flow 509: {38 55} 
Flow 514: {67 58} 
Flow 516: {34 64} 
Flow 540: {117 96} 
Flow 541: {117 97} 
Flow 551: {8 71} 
Flow 581: {9 71} 
Flow 590: {95 92} 
Flow 592: {3 28} 
Flow 594: {9 12} 
Flow 626: {3 109} 
Flow 631: {9 116} 
Flow 643: {10 12} 
Flow 645: {10 95} 
Flow 656: {10 116} 
Flow 689: {11 58} 
Flow 703: {38 61} 
Flow 704: {71 73} 
Flow 733: {57 104} 
Flow 827: {12 27} 
Flow 835: {100 238} 
Flow 840: {25 105} 
Flow 854: {8 117} 
Flow 868: {12 8} 
Flow 874: {13 7} 
Flow 876: {13 9} 
Flow 897: {16 36} 
Flow 906: {13 4} 
Flow 943: {94 93} 
Flow 947: {34 98} 
Flow 951: {3 102} 
Flow 957: {13 3} 
Flow 960: {11 111} 
Flow 982: {13 8} 
Flow 1005: {2 31} 
Flow 1048: {121 90} 
Flow 1060: {15 21} 
Flow 1067: {111 249} 
Flow 1077: {51 137} 
Flow 1088: {17 15} 
Flow 1091: {71 5} 
Flow 1100: {17 14} 
Flow 1100: {14 18} 
Flow 1101: {19 157} 
Flow 1109: {28 166} 
Flow 1120: {16 38} 
Flow 1120: {41 179} 
Flow 1129: {17 33} 
Flow 1183: {17 16} 
Flow 1203: {37 54} 
Flow 1208: {1 6} 
Flow 1229: {15 33} 
Flow 1244: {18 15} 
Flow 1246: {15 16} 
Flow 1262: {18 34} 
Flow 1280: {92 96} 
Flow 1281: {92 97} 
Flow 1283: {34 99} 
Flow 1299: {18 35} 
Flow 1337: {19 22} 
Flow 1349: {24 91} 
Flow 1404: {20 19} 
Flow 1456: {1 139} 
Flow 1460: {6 144} 
Flow 1509: {66 204} 
Flow 1520: {80 218} 
Flow 1529: {122 92} 
Flow 1554: {118 256} 
Flow 1637: {8 1} 
Flow 1648: {23 19} 
Flow 1659: {92 60} 
Flow 1677: {23 92} 
Flow 1684: {74 71} 
Flow 1685: {122 72} 
Flow 1718: {23 91} 
Flow 1727: {51 134} 
Flow 1751: {25 12} 
Flow 1770: {59 197} 
Flow 1771: {25 71} 
Flow 1824: {26 12} 
Flow 1864: {26 71} 
Flow 1902: {26 105} 
Flow 1938: {71 9} 
Flow 1950: {12 26} 
Flow 1954: {27 12} 
Flow 2031: {74 121} 
Flow 2050: {5 1} 
Flow 2052: {29 12} 
Flow 2053: {12 9} 
Flow 2059: {67 21} 
Flow 2068: {12 30} 
Flow 2069: {12 31} 
Flow 2083: {29 5} 
Flow 2083: {48 186} 
Flow 2100: {68 206} 
Flow 2102: {5 71} 
Flow 2114: {8 87} 
Flow 2123: {60 99} 
Flow 2126: {5 102} 
Flow 2129: {12 25} 
Flow 2131: {5 107} 
Flow 2133: {5 109} 
Flow 2134: {29 2} 
Flow 2135: {5 11} 
Flow 2137: {113 251} 
Flow 2156: {101 135} 
Flow 2160: {28 2} 
Flow 2180: {12 28} 
Flow 2183: {12 32} 
Flow 2187: {60 37} 
Flow 2192: {30 12} 
Flow 2204: {55 193} 
Flow 2215: {8 95} 
Flow 2243: {12 4} 
Flow 2243: {58 56} 
Flow 2243: {104 242} 
Flow 2261: {126 124} 
Flow 2270: {134 272} 
Flow 2284: {71 67} 
Flow 2297: {31 12} 
Flow 2298: {31 5} 
Flow 2301: {36 174} 
Flow 2314: {50 188} 
Flow 2317: {31 3} 
Flow 2326: {73 22} 
Flow 2359: {114 105} 
Flow 2384: {31 2} 
Flow 2385: {1 9} 
Flow 2411: {15 34} 
Flow 2412: {31 169} 
Flow 2437: {55 63} 
Flow 2454: {33 15} 
Flow 2455: {22 122} 
Flow 2465: {33 38} 
Flow 2485: {126 125} 
Flow 2485: {125 263} 
Flow 2528: {27 105} 
Flow 2548: {12 150} 
Flow 2549: {15 153} 
Flow 2550: {35 16} 
Flow 2580: {33 37} 
Flow 2585: {35 33} 
Flow 2618: {35 98} 
