Number of groups: 709
Flow 1: {1 3} 
Flow 91: {1 2} 
Flow 96: {81 126} 
Flow 108: {1 4} 
Flow 114: {114 119} 
Flow 115: {2 53} 
Flow 136: {2 34} 
Flow 171: {53 214} 
Flow 173: {2 70} 
Flow 190: {2 76} 
Flow 229: {114 121} 
Flow 241: {2 51} 
Flow 279: {13 24} 
Flow 283: {4 68} 
Flow 335: {108 269} 
Flow 345: {4 7} 
Flow 355: {4 141} 
Flow 362: {4 53} 
Flow 384: {30 39} 
Flow 386: {38 46} 
Flow 391: {5 6} 
Flow 393: {5 7} 
Flow 402: {90 251} 
Flow 424: {6 5} 
Flow 659: {17 178} 
Flow 700: {70 64} 
Flow 732: {110 123} 
Flow 767: {10 11} 
Flow 802: {9 54} 
Flow 811: {53 63} 
Flow 814: {66 227} 
Flow 865: {134 25} 
Flow 877: {143 304} 
Flow 901: {11 172} 
Flow 920: {32 193} 
Flow 921: {34 195} 
Flow 945: {10 8} 
Flow 949: {20 22} 
Flow 949: {68 229} 
Flow 1005: {51 136} 
Flow 1084: {11 135} 
Flow 1134: {11 26} 
Flow 1143: {11 10} 
Flow 1220: {12 20} 
Flow 1237: {16 108} 
Flow 1260: {25 75} 
Flow 1268: {7 151} 
Flow 1339: {10 12} 
Flow 1362: {100 261} 
Flow 1367: {116 107} 
Flow 1367: {146 25} 
Flow 1418: {14 16} 
Flow 1424: {14 15} 
Flow 1453: {26 51} 
Flow 1458: {57 218} 
Flow 1473: {25 134} 
Flow 1546: {15 14} 
Flow 1561: {15 16} 
Flow 1568: {25 114} 
Flow 1581: {13 10} 
Flow 1596: {16 12} 
Flow 1627: {47 208} 
Flow 1639: {16 21} 
Flow 1645: {16 13} 
Flow 1682: {18 112} 
Flow 1693: {21 20} 
Flow 1693: {22 146} 
Flow 1719: {34 158} 
Flow 1751: {17 18} 
Flow 1770: {19 71} 
Flow 1783: {17 19} 
Flow 1789: {130 129} 
Flow 1815: {26 114} 
Flow 1858: {44 205} 
Flow 1864: {54 215} 
Flow 1933: {53 40} 
Flow 1995: {75 236} 
Flow 2064: {140 156} 
Flow 2148: {102 101} 
Flow 2150: {135 78} 
Flow 2155: {110 109} 
Flow 2207: {40 30} 
Flow 2213: {146 26} 
Flow 2215: {21 16} 
Flow 2240: {26 53} 
Flow 2252: {7 4} 
Flow 2263: {18 17} 
Flow 2312: {81 242} 
Flow 2332: {107 106} 
Flow 2377: {75 2} 
Flow 2381: {23 24} 
Flow 2384: {23 16} 
Flow 2448: {23 20} 
Flow 2505: {8 9} 
Flow 2508: {79 240} 
Flow 2523: {24 23} 
Flow 2530: {24 13} 
Flow 2551: {7 152} 
Flow 2551: {152 313} 
Flow 2593: {134 133} 
Flow 2646: {42 203} 
Flow 2703: {26 122} 
Flow 2738: {68 4} 
Flow 2739: {27 29} 
Flow 2744: {29 66} 
Flow 2787: {27 28} 
Flow 2844: {66 68} 
Flow 2853: {2 7} 
Flow 2869: {135 11} 
Flow 2884: {28 27} 
Flow 2898: {46 207} 
Flow 2911: {67 63} 
Flow 2917: {67 64} 
Flow 2961: {75 70} 
Flow 2973: {28 67} 
Flow 2977: {67 68} 
Flow 2978: {67 65} 
Flow 2981: {68 69} 
Flow 2989: {4 165} 
Flow 2995: {12 173} 
Flow 3050: {94 90} 
Flow 3093: {35 2} 
Flow 3133: {32 38} 
Flow 3220: {25 145} 
Flow 3235: {75 6} 
Flow 3241: {33 30} 
Flow 3246: {39 200} 
Flow 3251: {33 2} 
Flow 3254: {2 64} 
Flow 3275: {40 53} 
Flow 3309: {37 46} 
Flow 3357: {35 30} 
Flow 3363: {54 9} 
Flow 3367: {30 31} 
Flow 3404: {35 64} 
Flow 3439: {132 293} 
Flow 3443: {141 302} 
Flow 3469: {26 11} 
Flow 3488: {30 32} 
Flow 3490: {30 34} 
Flow 3499: {45 206} 
Flow 3524: {76 237} 
Flow 3566: {126 287} 
Flow 3575: {40 51} 
Flow 3578: {36 30} 
Flow 3613: {37 30} 
Flow 3646: {58 219} 
Flow 3707: {131 292} 
Flow 3715: {37 2} 
