Number of groups: 536
Flow 43: {43 44 0} 
Flow 47: {1 86 0} 
Flow 178: {22 180 0} 
Flow 207: {86 8 0} 
Flow 268: {112 270 0} 
Flow 287: {131 289 0} 
Flow 300: {104 134 0} 
Flow 350: {37 195 0} 
Flow 423: {110 268 0} 
Flow 429: {6 7 0} 
Flow 545: {75 233 0} 
Flow 548: {4 6 0} 
Flow 607: {50 136 0} 
Flow 713: {3 133 0} 
Flow 792: {134 87 0} 
Flow 850: {127 66 0} 
Flow 893: {107 109 0} 
Flow 986: {5 49 0} 
Flow 1038: {79 121 0} 
Flow 1038: {125 123 0} 
Flow 1094: {153 311 0} 
Flow 1116: {19 12 0} 
Flow 1170: {71 72 0} 
Flow 1172: {73 74 0} 
Flow 1261: {134 133 0} 
Flow 1275: {9 8 0} 
Flow 1369: {111 114 0} 
Flow 1392: {9 10 0} 
Flow 1411: {151 62 0} 
Flow 1576: {87 134 0} 
Flow 1767: {158 143 0} 
Flow 1830: {12 19 0} 
Flow 1853: {127 285 0} 
Flow 1858: {11 14 0} 
Flow 1860: {134 292 0} 
Flow 1871: {12 11 0} 
Flow 1872: {146 304 0} 
Flow 2057: {11 12 0} 
Flow 2082: {10 22 0} 
Flow 2107: {67 225 0} 
Flow 2210: {15 18 0} 
Flow 2237: {40 198 0} 
Flow 2272: {73 75 0} 
Flow 2373: {16 19 0} 
Flow 2380: {98 26 0} 
Flow 2420: {130 128 0} 
Flow 2543: {85 32 0} 
Flow 2596: {17 12 0} 
Flow 2707: {34 40 0} 
Flow 2709: {18 15 0} 
Flow 2734: {121 97 0} 
Flow 2793: {18 17 0} 
Flow 2820: {15 16 0} 
Flow 2864: {40 39 0} 
Flow 2907: {20 108 0} 
Flow 2981: {78 152 0} 
Flow 3046: {64 222 0} 
Flow 3099: {101 119 0} 
Flow 3137: {108 107 0} 
Flow 3385: {94 95 0} 
Flow 3398: {102 260 0} 
Flow 3453: {157 315 0} 
Flow 3560: {102 109 0} 
Flow 3564: {111 269 0} 
Flow 3637: {117 118 0} 
Flow 3638: {29 53 0} 
Flow 3640: {24 30 0} 
Flow 3715: {24 23 0} 
Flow 3717: {109 107 0} 
Flow 3739: {60 57 0} 
Flow 3750: {23 29 0} 
Flow 3832: {80 64 0} 
Flow 3836: {69 227 0} 
Flow 3848: {25 120 0} 
Flow 3923: {21 78 0} 
Flow 3958: {118 117 0} 
Flow 3967: {26 98 0} 
Flow 4020: {93 94 0} 
Flow 4037: {113 271 0} 
Flow 4065: {27 25 0} 
Flow 4164: {83 241 0} 
Flow 4189: {8 110 0} 
Flow 4221: {140 298 0} 
Flow 4281: {88 43 0} 
Flow 4335: {28 25 0} 
Flow 4345: {107 265 0} 
Flow 4380: {142 300 0} 
Flow 4465: {38 37 0} 
Flow 4548: {53 54 0} 
Flow 4577: {30 24 0} 
Flow 4627: {37 34 0} 
Flow 4690: {30 23 0} 
Flow 4695: {54 84 0} 
Flow 4730: {19 20 0} 
Flow 4736: {26 184 0} 
Flow 4870: {35 34 0} 
Flow 4886: {32 85 0} 
Flow 4927: {32 35 0} 
Flow 4934: {68 226 0} 
Flow 4969: {103 261 0} 
Flow 4982: {90 116 0} 
Flow 5005: {139 297 0} 
Flow 5187: {3 4 0} 
Flow 5212: {31 189 0} 
