Number of groups: 536
Flow 43: {43 44} 
Flow 47: {1 86} 
Flow 178: {22 180} 
Flow 207: {86 8} 
Flow 268: {112 270} 
Flow 287: {131 289} 
Flow 300: {104 134} 
Flow 350: {37 195} 
Flow 423: {110 268} 
Flow 429: {6 7} 
Flow 545: {75 233} 
Flow 548: {4 6} 
Flow 607: {50 136} 
Flow 713: {3 133} 
Flow 792: {134 87} 
Flow 850: {127 66} 
Flow 893: {107 109} 
Flow 986: {5 49} 
Flow 1038: {79 121} 
Flow 1038: {125 123} 
Flow 1094: {153 311} 
Flow 1116: {19 12} 
Flow 1170: {71 72} 
Flow 1172: {73 74} 
Flow 1261: {134 133} 
Flow 1275: {9 8} 
Flow 1369: {111 114} 
Flow 1392: {9 10} 
Flow 1411: {151 62} 
Flow 1576: {87 134} 
Flow 1767: {158 143} 
Flow 1830: {12 19} 
Flow 1853: {127 285} 
Flow 1858: {11 14} 
Flow 1860: {134 292} 
Flow 1871: {12 11} 
Flow 1872: {146 304} 
Flow 2057: {11 12} 
Flow 2082: {10 22} 
Flow 2107: {67 225} 
Flow 2210: {15 18} 
Flow 2237: {40 198} 
Flow 2272: {73 75} 
Flow 2373: {16 19} 
Flow 2380: {98 26} 
Flow 2420: {130 128} 
Flow 2543: {85 32} 
Flow 2596: {17 12} 
Flow 2707: {34 40} 
Flow 2709: {18 15} 
Flow 2734: {121 97} 
Flow 2793: {18 17} 
Flow 2820: {15 16} 
Flow 2864: {40 39} 
Flow 2907: {20 108} 
Flow 2981: {78 152} 
Flow 3046: {64 222} 
Flow 3099: {101 119} 
Flow 3137: {108 107} 
Flow 3385: {94 95} 
Flow 3398: {102 260} 
Flow 3453: {157 315} 
Flow 3560: {102 109} 
Flow 3564: {111 269} 
Flow 3637: {117 118} 
Flow 3638: {29 53} 
Flow 3640: {24 30} 
Flow 3715: {24 23} 
Flow 3717: {109 107} 
Flow 3739: {60 57} 
Flow 3750: {23 29} 
Flow 3832: {80 64} 
Flow 3836: {69 227} 
Flow 3848: {25 120} 
Flow 3923: {21 78} 
Flow 3958: {118 117} 
Flow 3967: {26 98} 
Flow 4020: {93 94} 
Flow 4037: {113 271} 
Flow 4065: {27 25} 
Flow 4164: {83 241} 
Flow 4189: {8 110} 
Flow 4221: {140 298} 
Flow 4281: {88 43} 
Flow 4335: {28 25} 
Flow 4345: {107 265} 
Flow 4380: {142 300} 
Flow 4465: {38 37} 
Flow 4548: {53 54} 
Flow 4577: {30 24} 
Flow 4627: {37 34} 
Flow 4690: {30 23} 
Flow 4695: {54 84} 
Flow 4730: {19 20} 
Flow 4736: {26 184} 
Flow 4870: {35 34} 
Flow 4886: {32 85} 
Flow 4927: {32 35} 
Flow 4934: {68 226} 
Flow 4969: {103 261} 
Flow 4982: {90 116} 
Flow 5005: {139 297} 
Flow 5187: {3 4} 
Flow 5212: {31 189} 
Flow 5287: {101 102} 
Flow 5304: {58 124} 
Flow 5400: {85 31} 
Flow 5421: {84 242} 
Flow 5441: {2 104} 
Flow 5650: {156 314} 
Flow 5661: {9 167} 
Flow 5675: {23 181} 
Flow 5763: {117 119} 
Flow 5765: {114 272} 
Flow 5780: {57 58} 
Flow 5855: {47 205} 
Flow 5903: {36 117} 
Flow 5957: {38 84} 
Flow 5972: {39 40} 
