Number of groups: 666
Flow 6: {10 36} 
Flow 22: {1 10} 
Flow 117: {78 19} 
Flow 122: {24 124} 
Flow 124: {26 126} 
Flow 153: {41 55} 
Flow 155: {77 29} 
Flow 176: {2 78} 
Flow 184: {25 86} 
Flow 187: {2 14} 
Flow 188: {14 93} 
Flow 195: {2 25} 
Flow 202: {89 5} 
Flow 205: {3 73} 
Flow 213: {57 16} 
Flow 247: {3 39} 
Flow 247: {39 45} 
Flow 283: {18 10} 
Flow 290: {34 70} 
Flow 319: {92 24} 
Flow 337: {1 42} 
Flow 337: {4 16} 
Flow 344: {4 85} 
Flow 361: {15 66} 
Flow 372: {4 29} 
Flow 386: {16 57} 
Flow 389: {16 15} 
Flow 392: {97 197} 
Flow 422: {6 28} 
Flow 423: {5 81} 
Flow 473: {79 179} 
Flow 528: {96 35} 
Flow 579: {86 186} 
Flow 607: {25 29} 
Flow 643: {35 22} 
Flow 672: {54 81} 
Flow 687: {7 61} 
Flow 694: {8 37} 
Flow 713: {58 24} 
Flow 736: {45 21} 
Flow 760: {53 27} 
Flow 777: {39 89} 
Flow 782: {51 94} 
Flow 794: {9 20} 
Flow 800: {9 13} 
Flow 804: {5 6} 
Flow 810: {20 23} 
Flow 816: {29 129} 
Flow 838: {8 51} 
Flow 840: {50 45} 
Flow 879: {25 77} 
Flow 893: {17 6} 
Flow 906: {47 20} 
Flow 908: {18 22} 
Flow 925: {89 39} 
Flow 929: {44 93} 
Flow 935: {59 49} 
Flow 993: {11 42} 
Flow 1012: {31 71} 
Flow 1019: {42 62} 
Flow 1037: {11 38} 
Flow 1051: {11 30} 
Flow 1081: {17 96} 
Flow 1084: {99 199} 
Flow 1135: {37 51} 
Flow 1138: {54 154} 
Flow 1143: {59 159} 
Flow 1169: {49 85} 
Flow 1179: {5 96} 
Flow 1196: {93 14} 
Flow 1229: {9 47} 
Flow 1236: {47 54} 
Flow 1263: {23 81} 
Flow 1269: {87 187} 
Flow 1277: {13 9} 
Flow 1296: {15 115} 
Flow 1353: {2 77} 
Flow 1370: {95 195} 
Flow 1388: {31 46} 
Flow 1391: {62 17} 
Flow 1413: {39 139} 
Flow 1421: {57 29} 
Flow 1424: {67 45} 
Flow 1444: {98 83} 
Flow 1450: {84 76} 
Flow 1465: {91 191} 
Flow 1483: {9 109} 
Flow 1495: {29 25} 
Flow 1538: {4 65} 
Flow 1545: {15 31} 
Flow 1551: {16 29} 
Flow 1553: {80 180} 
Flow 1595: {5 23} 
Flow 1597: {93 25} 
Flow 1609: {17 70} 
Flow 1626: {17 22} 
Flow 1633: {22 35} 
Flow 1641: {25 69} 
Flow 1646: {33 74} 
Flow 1651: {6 5} 
Flow 1709: {18 62} 
Flow 1719: {21 56} 
Flow 1722: {70 8} 
Flow 1765: {18 17} 
Flow 1774: {3 103} 
Flow 1774: {17 28} 
Flow 1786: {19 92} 
Flow 1791: {7 54} 
Flow 1806: {19 41} 
Flow 1830: {19 78} 
Flow 1838: {19 24} 
Flow 1838: {58 91} 
Flow 1865: {9 64} 
Flow 1906: {38 138} 
Flow 1911: {87 43} 
Flow 1913: {20 9} 
Flow 1921: {67 53} 
Flow 1927: {9 32} 
Flow 1944: {45 67} 
Flow 1950: {20 47} 
Flow 1961: {37 94} 
Flow 1981: {81 35} 
Flow 2038: {12 46} 
Flow 2042: {89 189} 
Flow 2088: {62 42} 
Flow 2117: {67 167} 
Flow 2126: {22 17} 
Flow 2143: {70 88} 
Flow 2144: {22 96} 
Flow 2168: {93 41} 
Flow 2173: {25 125} 
Flow 2210: {6 17} 
Flow 2266: {36 18} 
Flow 2274: {24 92} 
Flow 2278: {92 57} 
Flow 2280: {16 33} 
Flow 2295: {50 48} 
Flow 2302: {24 55} 
Flow 2320: {83 70} 
Flow 2328: {61 35} 
Flow 2328: {35 81} 
Flow 2332: {92 29} 
Flow 2341: {94 194} 
Flow 2368: {21 121} 
Flow 2371: {41 24} 
Flow 2422: {53 76} 
Flow 2429: {10 62} 
Flow 2429: {62 83} 
Flow 2455: {47 9} 
Flow 2459: {47 32} 
Flow 2466: {26 47} 
Flow 2481: {35 36} 
Flow 2485: {26 61} 
Flow 2497: {17 83} 
Flow 2510: {59 65} 
Flow 2516: {60 27} 
Flow 2520: {26 75} 
Flow 2533: {23 5} 
Flow 2542: {26 7} 
Flow 2562: {12 68} 
Flow 2562: {18 118} 
Flow 2568: {71 15} 
Flow 2579: {44 36} 
Flow 2598: {57 58} 
Flow 2606: {27 71} 
Flow 2640: {27 97} 
Flow 2653: {17 18} 
Flow 2673: {28 17} 
Flow 2676: {28 34} 
Flow 2691: {49 149} 
Flow 2719: {28 6} 
Flow 2737: {28 89} 
Flow 2740: {98 198} 
Flow 2748: {96 6} 
Flow 2756: {25 14} 
Flow 2778: {37 137} 
Flow 2826: {85 185} 
Flow 2849: {30 1} 
Flow 2863: {54 23} 
Flow 2871: {32 132} 
Flow 2873: {1 62} 
Flow 2873: {34 134} 
Flow 2874: {36 35} 
Flow 2944: {31 63} 
Flow 2956: {10 18} 
Flow 2963: {31 15} 
Flow 2989: {72 52} 
Flow 3025: {52 98} 
Flow 3040: {39 3} 
Flow 3058: {32 47} 
Flow 3067: {30 130} 
Flow 3103: {13 50} 
Flow 3110: {74 174} 
Flow 3115: {20 79} 
Flow 3126: {61 44} 
Flow 3152: {16 116} 
Flow 3162: {97 27} 
Flow 3170: {33 15} 
Flow 3181: {25 93} 
Flow 3187: {33 60} 
Flow 3192: {58 158} 
Flow 3199: {33 85} 
Flow 3210: {27 76} 
Flow 3229: {15 57} 
Flow 3271: {34 3} 
Flow 3301: {69 169} 
Flow 3317: {16 85} 
Flow 3371: {41 141} 
Flow 3375: {21 45} 
Flow 3378: {64 48} 
Flow 3392: {62 162} 
Flow 3394: {20 64} 
Flow 3403: {34 73} 
Flow 3406: {98 68} 
Flow 3456: {7 26} 
Flow 3463: {36 10} 
Flow 3468: {6 89} 
Flow 3480: {88 51} 
Flow 3507: {14 78} 
Flow 3509: {63 80} 
