Number of groups: 405
Flow 5: {1 5} 
Flow 19: {3 19} 
Flow 34: {4 33} 
Flow 105: {2 1} 
Flow 132: {67 45} 
Flow 144: {2 20} 
Flow 180: {1 6} 
Flow 182: {1 8} 
Flow 184: {1 10} 
Flow 186: {1 4} 
Flow 194: {3 20} 
Flow 197: {28 23} 
Flow 201: {55 27} 
Flow 250: {1 9} 
Flow 253: {1 7} 
Flow 255: {3 1} 
Flow 259: {85 172} 
Flow 321: {16 62} 
Flow 324: {66 65} 
Flow 348: {5 1} 
Flow 355: {5 10} 
Flow 363: {1 3} 
Flow 374: {29 116} 
Flow 377: {5 2} 
Flow 387: {5 35} 
Flow 404: {58 59} 
Flow 416: {46 71} 
Flow 433: {6 1} 
Flow 440: {6 8} 
Flow 454: {6 47} 
Flow 466: {31 34} 
Flow 471: {28 39} 
Flow 537: {7 1} 
Flow 538: {7 8} 
Flow 564: {7 79} 
Flow 574: {53 55} 
Flow 577: {79 6} 
Flow 579: {11 13} 
Flow 587: {7 2} 
Flow 597: {46 78} 
Flow 607: {8 1} 
Flow 612: {8 6} 
Flow 643: {20 4} 
Flow 659: {8 20} 
Flow 678: {8 19} 
Flow 679: {9 75} 
Flow 680: {58 44} 
Flow 682: {9 58} 
Flow 683: {8 7} 
Flow 750: {59 146} 
Flow 789: {1 11} 
Flow 796: {3 18} 
Flow 796: {10 1} 
Flow 816: {4 43} 
Flow 825: {10 20} 
Flow 842: {64 151} 
Flow 865: {87 174} 
Flow 898: {11 2} 
Flow 910: {45 132} 
Flow 923: {11 1} 
Flow 932: {67 154} 
Flow 948: {11 35} 
Flow 986: {34 121} 
Flow 989: {28 37} 
Flow 1008: {12 14} 
Flow 1012: {14 61} 
Flow 1036: {58 46} 
Flow 1095: {56 143} 
Flow 1120: {13 40} 
Flow 1129: {14 12} 
Flow 1135: {9 96} 
Flow 1166: {40 127} 
Flow 1211: {23 85} 
Flow 1218: {13 11} 
Flow 1266: {40 36} 
Flow 1276: {15 12} 
Flow 1281: {54 57} 
Flow 1289: {15 13} 
Flow 1317: {63 17} 
Flow 1332: {33 32} 
Flow 1352: {59 52} 
Flow 1373: {16 13} 
Flow 1384: {84 171} 
Flow 1386: {85 86} 
Flow 1403: {17 63} 
Flow 1419: {32 119} 
Flow 1429: {42 129} 
Flow 1444: {56 54} 
Flow 1462: {40 4} 
Flow 1466: {17 12} 
Flow 1476: {1 2} 
Flow 1485: {18 3} 
Flow 1504: {80 30} 
Flow 1523: {49 136} 
Flow 1541: {9 67} 
Flow 1546: {9 72} 
Flow 1550: {18 9} 
Flow 1550: {44 76} 
Flow 1592: {19 9} 
Flow 1641: {80 167} 
Flow 1654: {47 6} 
Flow 1678: {41 29} 
Flow 1716: {68 155} 
Flow 1748: {24 40} 
Flow 1761: {22 26} 
Flow 1776: {41 128} 
Flow 1799: {21 24} 
Flow 1819: {78 84} 
Flow 1823: {4 1} 
Flow 1847: {22 25} 
Flow 1858: {36 123} 
Flow 1859: {22 28} 
Flow 1876: {22 29} 
Flow 1885: {36 40} 
Flow 1916: {7 94} 
Flow 1917: {20 8} 
Flow 1937: {28 115} 
Flow 1960: {51 138} 
Flow 1981: {72 159} 
Flow 2001: {5 92} 
Flow 2023: {22 27} 
Flow 2035: {24 28} 
Flow 2045: {13 49} 
Flow 2076: {81 66} 
Flow 2080: {24 23} 
Flow 2093: {12 99} 
Flow 2101: {25 53} 
Flow 2103: {25 22} 
Flow 2124: {36 43} 
Flow 2138: {25 54} 
Flow 2142: {61 148} 
Flow 2191: {26 22} 
Flow 2195: {83 30} 
Flow 2198: {26 83} 
Flow 2219: {26 80} 
Flow 2223: {30 55} 
Flow 2241: {26 73} 
Flow 2262: {79 7} 
Flow 2281: {27 30} 
Flow 2281: {30 83} 
Flow 2295: {27 55} 
Flow 2307: {67 59} 
Flow 2311: {54 56} 
Flow 2365: {23 110} 
Flow 2368: {80 26} 
Flow 2395: {36 53} 
Flow 2408: {28 40} 
Flow 2459: {47 9} 
Flow 2463: {6 35} 
Flow 2466: {41 38} 
Flow 2537: {30 22} 
Flow 2541: {83 26} 
Flow 2548: {30 80} 
Flow 2566: {52 51} 
Flow 2569: {30 73} 
Flow 2672: {80 73} 
Flow 2704: {15 102} 
Flow 2722: {32 33} 
Flow 2731: {43 42} 
Flow 2765: {32 31} 
Flow 2765: {76 163} 
Flow 2769: {33 4} 
Flow 2793: {17 104} 
Flow 2811: {35 122} 
Flow 2839: {16 63} 
Flow 2870: {4 20} 
Flow 2872: {34 31} 
Flow 2874: {2 11} 
Flow 2901: {38 125} 
Flow 2910: {47 134} 
Flow 2913: {13 50} 
Flow 2945: {34 48} 
Flow 2949: {34 33} 
Flow 2957: {35 7} 
Flow 2989: {39 126} 
Flow 3009: {35 6} 
Flow 3020: {47 41} 
Flow 3047: {20 10} 
Flow 3047: {10 97} 
Flow 3051: {14 101} 
Flow 3143: {37 43} 
Flow 3162: {37 28} 
Flow 3165: {37 42} 
Flow 3169: {46 133} 
Flow 3196: {37 41} 
Flow 3224: {38 43} 
Flow 3234: {38 28} 
Flow 3252: {38 42} 
Flow 3268: {38 41} 
Flow 3268: {44 58} 
Flow 3273: {63 150} 
Flow 3298: {1 88} 
Flow 3319: {28 22} 
Flow 3321: {28 24} 
Flow 3324: {39 28} 
Flow 3384: {28 36} 
Flow 3405: {40 24} 
Flow 3450: {66 153} 
Flow 3538: {73 160} 
Flow 3565: {42 43} 
Flow 3571: {24 21} 
Flow 3580: {30 117} 
Flow 3587: {42 37} 
Flow 3587: {37 124} 
Flow 3588: {42 38} 
Flow 3608: {58 145} 
Flow 3624: {74 161} 
Flow 3630: {42 41} 
Flow 3632: {82 169} 
Flow 3674: {43 37} 
Flow 3681: {44 131} 
Flow 3715: {44 78} 
Flow 3720: {80 83} 
Flow 3720: {83 170} 
Flow 3743: {19 106} 
Flow 3787: {13 16} 
Flow 3832: {36 24} 
Flow 3857: {45 76} 
Flow 3882: {76 44} 
Flow 3935: {41 37} 
Flow 3946: {31 32} 
Flow 3987: {6 79} 
Flow 4084: {48 34} 
Flow 4130: {31 9} 
Flow 4177: {20 9} 
Flow 4184: {53 25} 
Flow 4193: {33 34} 
Flow 4197: {43 38} 
Flow 4212: {49 13} 
Flow 4289: {50 13} 
Flow 4315: {57 69} 
Flow 4338: {10 5} 
Flow 4342: {51 52} 
Flow 4346: {9 19} 
Flow 4355: {22 109} 
Flow 4467: {58 9} 
Flow 4498: {52 59} 
Flow 4502: {9 31} 
Flow 4533: {57 70} 
Flow 4553: {41 46} 
Flow 4568: {53 54} 
Flow 4615: {29 22} 
Flow 4624: {33 31} 
Flow 4673: {70 74} 
Flow 4674: {53 36} 
Flow 4695: {9 18} 
Flow 4698: {27 22} 
Flow 4701: {55 53} 
Flow 4705: {36 28} 
Flow 4725: {32 48} 
Flow 4750: {55 30} 
Flow 4758: {81 168} 
Flow 4761: {41 44} 
Flow 4771: {2 7} 
Flow 4792: {56 14} 
Flow 4890: {57 54} 
Flow 4948: {9 20} 
Flow 4994: {14 56} 
Flow 4998: {60 147} 
Flow 5000: {19 4} 
Flow 5005: {59 67} 
Flow 5017: {79 166} 
Flow 5105: {59 58} 
Flow 5117: {60 61} 
Flow 5137: {25 112} 
Flow 5164: {61 14} 
Flow 5169: {60 56} 
Flow 5174: {60 16} 
Flow 5178: {4 81} 
Flow 5205: {6 93} 
Flow 5214: {12 15} 
Flow 5229: {43 41} 
Flow 5245: {12 13} 
Flow 5252: {53 140} 
Flow 5261: {61 62} 
Flow 5262: {12 16} 
Flow 5270: {71 158} 
Flow 5318: {33 120} 
Flow 5320: {62 16} 
Flow 5345: {62 61} 
Flow 5374: {2 5} 
Flow 5382: {63 16} 
Flow 5423: {16 12} 
Flow 5429: {16 60} 
Flow 5439: {70 157} 
Flow 5488: {48 32} 
Flow 5516: {61 60} 
Flow 5521: {64 65} 
Flow 5522: {64 66} 
Flow 5531: {75 162} 
Flow 5560: {12 17} 
Flow 5564: {66 81} 
Flow 5597: {54 141} 
Flow 5606: {4 40} 
Flow 5607: {65 64} 
Flow 5628: {65 66} 
Flow 5633: {81 4} 
Flow 5665: {10 35} 
Flow 5678: {66 82} 
Flow 5692: {62 149} 
Flow 5743: {26 113} 
Flow 5771: {67 44} 
Flow 5824: {20 107} 
Flow 5828: {24 111} 
Flow 5833: {68 57} 
Flow 5834: {70 73} 
Flow 5916: {54 25} 
Flow 5917: {73 26} 
Flow 5921: {73 30} 
Flow 5936: {41 45} 
Flow 5955: {54 53} 
Flow 5957: {69 57} 
Flow 5983: {35 5} 
Flow 5989: {35 11} 
Flow 5995: {40 13} 
Flow 6019: {73 80} 
Flow 6055: {44 77} 
Flow 6090: {46 41} 
Flow 6091: {71 46} 
Flow 6139: {83 74} 
Flow 6156: {4 91} 
Flow 6159: {72 9} 
Flow 6173: {21 108} 
Flow 6175: {43 36} 
Flow 6185: {31 33} 
Flow 6204: {72 46} 
Flow 6242: {20 3} 
Flow 6250: {11 98} 
Flow 6264: {70 57} 
Flow 6281: {41 42} 
Flow 6334: {8 95} 
Flow 6337: {41 47} 
Flow 6341: {13 15} 
Flow 6343: {74 83} 
