Number of groups: 368
Flow 22: {71 70} 
Flow 23: {70 118} 
Flow 40: {4 3} 
Flow 44: {26 1} 
Flow 57: {117 45} 
Flow 61: {49 124} 
Flow 83: {118 70} 
Flow 90: {19 14} 
Flow 90: {20 60} 
Flow 94: {60 125} 
Flow 104: {3 100} 
Flow 121: {97 122} 
Flow 124: {6 4} 
Flow 127: {6 104} 
Flow 137: {100 106} 
Flow 145: {26 29} 
Flow 149: {84 95} 
Flow 153: {110 50} 
Flow 159: {65 66} 
Flow 160: {29 89} 
Flow 166: {112 114} 
Flow 177: {38 39} 
Flow 187: {11 12} 
Flow 208: {12 19} 
Flow 229: {50 49} 
Flow 271: {17 113} 
Flow 272: {15 18} 
Flow 286: {18 17} 
Flow 293: {16 115} 
Flow 294: {65 21} 
Flow 297: {83 80} 
Flow 327: {97 222} 
Flow 329: {101 106} 
Flow 344: {33 158} 
Flow 355: {75 111} 
Flow 359: {15 112} 
Flow 379: {10 1} 
Flow 390: {29 154} 
Flow 399: {80 205} 
Flow 400: {78 81} 
Flow 404: {27 88} 
Flow 420: {43 36} 
Flow 446: {74 199} 
Flow 455: {121 92} 
Flow 457: {94 219} 
Flow 459: {59 98} 
Flow 469: {116 241} 
Flow 477: {75 113} 
Flow 478: {68 75} 
Flow 489: {43 168} 
Flow 490: {45 44} 
Flow 492: {94 47} 
Flow 506: {68 69} 
Flow 513: {88 213} 
Flow 541: {23 80} 
Flow 549: {23 55} 
Flow 551: {23 81} 
Flow 561: {25 37} 
Flow 571: {37 21} 
Flow 571: {122 247} 
Flow 588: {56 181} 
Flow 611: {1 10} 
Flow 627: {95 82} 
Flow 653: {82 83} 
Flow 658: {119 118} 
Flow 672: {37 25} 
Flow 677: {71 2} 
Flow 677: {2 127} 
Flow 678: {3 128} 
Flow 680: {4 5} 
Flow 680: {5 130} 
Flow 681: {104 6} 
Flow 682: {4 7} 
Flow 682: {7 132} 
Flow 684: {11 136} 
Flow 685: {24 28} 
Flow 686: {66 112} 
Flow 694: {27 152} 
Flow 697: {30 33} 
Flow 703: {40 165} 
Flow 705: {42 167} 
Flow 709: {46 171} 
Flow 713: {50 175} 
Flow 714: {77 51} 
Flow 714: {51 176} 
Flow 720: {106 101} 
Flow 722: {61 186} 
Flow 724: {63 188} 
Flow 725: {64 189} 
Flow 726: {30 106} 
Flow 728: {116 118} 
Flow 732: {73 198} 
Flow 741: {95 85} 
Flow 741: {85 210} 
Flow 742: {86 211} 
Flow 758: {108 233} 
Flow 766: {120 245} 
Flow 767: {89 92} 
Flow 771: {14 20} 
Flow 776: {19 144} 
Flow 781: {34 35} 
Flow 794: {91 90} 
Flow 795: {31 30} 
Flow 802: {64 97} 
Flow 806: {101 226} 
Flow 809: {32 31} 
Flow 818: {33 30} 
Flow 821: {45 170} 
Flow 830: {4 129} 
Flow 830: {36 25} 
Flow 831: {36 43} 
Flow 834: {43 42} 
Flow 834: {42 45} 
Flow 838: {68 193} 
Flow 842: {21 65} 
Flow 864: {58 57} 
Flow 868: {41 40} 
Flow 879: {92 217} 
Flow 883: {38 41} 
Flow 885: {106 231} 
Flow 893: {39 44} 
Flow 894: {121 122} 
Flow 903: {40 19} 
Flow 907: {41 38} 
Flow 909: {108 101} 
Flow 932: {48 173} 
Flow 934: {53 178} 
Flow 936: {98 58} 
Flow 941: {60 62} 
Flow 941: {62 187} 
Flow 966: {117 65} 
Flow 967: {45 117} 
Flow 970: {109 234} 
Flow 971: {110 235} 
Flow 975: {65 10} 
Flow 975: {92 121} 
Flow 986: {55 180} 
Flow 991: {94 46} 
Flow 996: {49 50} 
Flow 1000: {106 30} 
Flow 1002: {47 48} 
Flow 1004: {90 123} 
Flow 1025: {47 94} 
Flow 1035: {48 49} 
Flow 1048: {110 61} 
Flow 1050: {89 29} 
Flow 1064: {19 12} 
Flow 1076: {120 121} 
Flow 1097: {113 114} 
Flow 1099: {53 110} 
Flow 1107: {3 4} 
Flow 1109: {54 124} 
Flow 1120: {82 95} 
Flow 1121: {55 23} 
Flow 1121: {23 148} 
Flow 1128: {34 159} 
Flow 1130: {55 22} 
Flow 1141: {50 110} 
Flow 1155: {46 94} 
Flow 1165: {95 84} 
Flow 1193: {58 98} 
Flow 1196: {79 78} 
Flow 1201: {104 229} 
Flow 1206: {57 58} 
Flow 1207: {93 9} 
Flow 1209: {59 11} 
Flow 1210: {56 63} 
Flow 1216: {98 59} 
Flow 1222: {125 74} 
Flow 1228: {57 56} 
Flow 1230: {90 215} 
Flow 1233: {99 62} 
Flow 1255: {40 41} 
Flow 1265: {62 60} 
Flow 1274: {63 99} 
Flow 1295: {81 23} 
Flow 1306: {39 164} 
Flow 1312: {47 172} 
Flow 1319: {56 57} 
Flow 1319: {99 63} 
Flow 1327: {71 196} 
Flow 1330: {125 61} 
Flow 1335: {76 96} 
Flow 1348: {35 104} 
Flow 1355: {74 111} 
Flow 1356: {20 14} 
Flow 1377: {12 11} 
Flow 1400: {69 194} 
Flow 1408: {81 206} 
Flow 1410: {84 209} 
Flow 1423: {103 228} 
Flow 1429: {111 236} 
Flow 1451: {39 38} 
Flow 1469: {93 218} 
Flow 1521: {70 71} 
Flow 1528: {16 112} 
Flow 1530: {48 47} 
Flow 1532: {49 174} 
Flow 1537: {58 183} 
Flow 1541: {115 16} 
Flow 1555: {98 223} 
Flow 1558: {27 108} 
Flow 1560: {64 67} 
Flow 1573: {68 87} 
Flow 1574: {2 115} 
Flow 1574: {112 66} 
Flow 1602: {46 55} 
Flow 1619: {11 59} 
Flow 1627: {75 73} 
Flow 1637: {29 28} 
Flow 1657: {111 74} 
Flow 1664: {111 77} 
Flow 1666: {79 204} 
Flow 1683: {90 91} 
Flow 1692: {6 131} 
Flow 1704: {119 120} 
Flow 1719: {77 52} 
Flow 1729: {74 125} 
Flow 1739: {52 53} 
Flow 1745: {77 76} 
Flow 1755: {100 225} 
Flow 1757: {30 34} 
Flow 1774: {125 250} 
Flow 1777: {77 111} 
Flow 1797: {9 101} 
Flow 1805: {80 22} 
Flow 1807: {21 146} 
Flow 1822: {44 169} 
Flow 1831: {63 56} 
Flow 1833: {22 81} 
Flow 1833: {78 79} 
Flow 1844: {78 203} 
Flow 1847: {82 207} 
Flow 1850: {91 97} 
Flow 1867: {87 68} 
Flow 1871: {117 242} 
Flow 1872: {83 82} 
Flow 1875: {124 249} 
Flow 1880: {80 83} 
Flow 1886: {84 87} 
Flow 1888: {59 93} 
Flow 1888: {81 78} 
Flow 1893: {38 163} 
Flow 1904: {79 49} 
Flow 1916: {76 201} 
Flow 1939: {22 80} 
Flow 1972: {35 160} 
Flow 1986: {69 96} 
Flow 1992: {91 216} 
Flow 2008: {85 95} 
Flow 2048: {97 91} 
Flow 2049: {67 64} 
Flow 2061: {88 67} 
Flow 2072: {125 60} 
Flow 2091: {73 75} 
Flow 2134: {17 18} 
Flow 2142: {93 59} 
Flow 2176: {19 40} 
Flow 2176: {44 45} 
Flow 2182: {15 140} 
Flow 2217: {94 124} 
Flow 2231: {60 20} 
Flow 2233: {14 19} 
Flow 2233: {107 232} 
Flow 2235: {124 49} 
Flow 2240: {110 53} 
Flow 2265: {118 116} 
Flow 2276: {18 143} 
Flow 2279: {118 119} 
Flow 2294: {76 77} 
Flow 2299: {96 76} 
Flow 2307: {96 69} 
Flow 2317: {69 68} 
Flow 2323: {99 224} 
Flow 2327: {67 88} 
Flow 2340: {18 15} 
Flow 2340: {113 17} 
Flow 2344: {90 116} 
Flow 2349: {44 39} 
Flow 2356: {88 27} 
Flow 2357: {97 64} 
Flow 2406: {112 15} 
Flow 2409: {27 24} 
Flow 2410: {25 150} 
Flow 2411: {28 29} 
Flow 2436: {4 6} 
Flow 2448: {17 142} 
Flow 2487: {10 65} 
Flow 2498: {108 27} 
Flow 2499: {75 68} 
Flow 2502: {81 22} 
Flow 2508: {101 108} 
Flow 2518: {103 104} 
Flow 2520: {101 9} 
Flow 2539: {34 30} 
Flow 2539: {49 48} 
Flow 2544: {104 35} 
Flow 2567: {9 93} 
Flow 2568: {35 34} 
Flow 2578: {121 246} 
Flow 2580: {122 123} 
Flow 2581: {105 35} 
Flow 2599: {107 30} 
Flow 2601: {107 109} 
Flow 2601: {109 108} 
Flow 2602: {109 107} 
Flow 2604: {100 3} 
Flow 2623: {53 52} 
Flow 2633: {62 99} 
Flow 2662: {61 125} 
Flow 2666: {30 107} 
Flow 2673: {123 248} 
Flow 2675: {9 134} 
Flow 2681: {111 75} 
Flow 2704: {73 118} 
Flow 2712: {108 109} 
Flow 2719: {116 90} 
Flow 2727: {20 145} 
Flow 2731: {1 26} 
Flow 2733: {24 27} 
Flow 2733: {30 155} 
Flow 2759: {112 16} 
Flow 2801: {28 153} 
Flow 2807: {25 36} 
Flow 2807: {36 161} 
Flow 2808: {114 112} 
Flow 2809: {66 65} 
Flow 2813: {55 46} 
Flow 2823: {60 185} 
Flow 2829: {70 195} 
Flow 2830: {2 71} 
Flow 2830: {114 115} 
Flow 2850: {104 103} 
Flow 2856: {113 238} 
Flow 2858: {65 117} 
Flow 2863: {115 114} 
Flow 2874: {114 113} 
Flow 2875: {113 75} 
Flow 2883: {115 2} 
Flow 2886: {65 190} 
Flow 2895: {80 23} 
Flow 2907: {41 166} 
Flow 2908: {45 42} 
Flow 2908: {42 43} 
Flow 2910: {29 26} 
Flow 2914: {118 73} 
Flow 2919: {28 24} 
Flow 2932: {49 79} 
Flow 2936: {96 86} 
Flow 2942: {124 94} 
Flow 2946: {106 100} 
Flow 2954: {112 237} 
Flow 2961: {122 97} 
Flow 2968: {21 37} 
Flow 2985: {59 184} 
Flow 2989: {67 192} 
Flow 2993: {121 120} 
Flow 2994: {87 84} 
Flow 3010: {61 110} 
Flow 3010: {120 119} 
Flow 3024: {92 89} 
Flow 3027: {22 55} 
Flow 3028: {123 90} 
Flow 3032: {123 122} 
Flow 3032: {122 121} 
Flow 3060: {24 149} 
Flow 3060: {52 77} 
Flow 3072: {57 182} 
Time taken running everything: 657 seconds
