Number of groups: 602
Flow 33: {6 7} 
Flow 67: {78 163} 
Flow 123: {123 122} 
Flow 151: {14 211} 
Flow 152: {27 224} 
Flow 171: {175 139} 
Flow 185: {10 9} 
Flow 218: {74 73} 
Flow 233: {128 129} 
Flow 258: {11 14} 
Flow 322: {61 62} 
Flow 355: {9 206} 
Flow 400: {31 228} 
Flow 423: {73 270} 
Flow 426: {161 154} 
Flow 468: {39 197} 
Flow 487: {9 192} 
Flow 498: {17 14} 
Flow 520: {172 369} 
Flow 560: {6 132} 
Flow 562: {31 36} 
Flow 571: {36 38} 
Flow 607: {22 27} 
Flow 623: {83 280} 
Flow 638: {117 116} 
Flow 697: {71 184} 
Flow 713: {45 242} 
Flow 715: {23 189} 
Flow 718: {24 23} 
Flow 726: {30 79} 
Flow 726: {174 77} 
Flow 731: {24 21} 
Flow 759: {159 166} 
Flow 766: {21 22} 
Flow 782: {19 216} 
Flow 790: {184 187} 
Flow 824: {109 306} 
Flow 834: {98 173} 
Flow 855: {185 382} 
Flow 859: {172 96} 
Flow 902: {99 296} 
Flow 958: {132 329} 
Flow 967: {28 27} 
Flow 967: {95 172} 
Flow 989: {43 41} 
Flow 1007: {27 30} 
Flow 1051: {55 56} 
Flow 1064: {158 157} 
Flow 1084: {52 189} 
Flow 1091: {173 138} 
Flow 1106: {48 45} 
Flow 1131: {103 300} 
Flow 1212: {13 31} 
Flow 1217: {184 93} 
Flow 1236: {135 332} 
Flow 1265: {35 38} 
Flow 1279: {44 241} 
Flow 1280: {46 45} 
Flow 1281: {166 50} 
Flow 1289: {31 19} 
Flow 1290: {154 155} 
Flow 1296: {36 31} 
Flow 1333: {195 392} 
Flow 1336: {37 39} 
Flow 1342: {20 69} 
Flow 1352: {197 159} 
Flow 1359: {40 182} 
Flow 1376: {22 21} 
Flow 1389: {197 182} 
Flow 1422: {38 36} 
Flow 1427: {93 94} 
Flow 1428: {95 292} 
Flow 1434: {93 92} 
Flow 1444: {8 9} 
Flow 1452: {130 327} 
Flow 1480: {184 167} 
Flow 1489: {105 102} 
Flow 1490: {182 379} 
Flow 1491: {190 183} 
Flow 1493: {38 161} 
Flow 1522: {45 46} 
Flow 1541: {78 4} 
Flow 1541: {165 164} 
Flow 1548: {39 38} 
Flow 1548: {46 49} 
Flow 1549: {93 97} 
Flow 1565: {153 350} 
Flow 1578: {47 50} 
Flow 1582: {49 182} 
