Number of groups: 457
Flow 7: {125 47 0} 
Flow 21: {121 126 0} 
Flow 22: {2 127 0} 
Flow 34: {95 240 0} 
Flow 43: {50 49 0} 
Flow 50: {3 6 0} 
Flow 55: {7 8 0} 
Flow 77: {1 11 0} 
Flow 77: {11 14 0} 
Flow 80: {6 9 0} 
Flow 97: {63 208 0} 
Flow 109: {4 50 0} 
Flow 116: {120 121 0} 
Flow 126: {47 48 0} 
Flow 139: {3 4 0} 
Flow 144: {6 7 0} 
Flow 148: {44 140 0} 
Flow 149: {3 148 0} 
Flow 170: {10 19 0} 
Flow 175: {74 219 0} 
Flow 194: {113 258 0} 
Flow 195: {130 114 0} 
Flow 195: {114 259 0} 
Flow 197: {10 20 0} 
Flow 198: {8 10 0} 
Flow 228: {87 232 0} 
Flow 237: {19 16 0} 
Flow 238: {61 70 0} 
Flow 241: {126 128 0} 
Flow 243: {9 6 0} 
Flow 244: {14 13 0} 
Flow 255: {31 15 0} 
Flow 263: {31 176 0} 
Flow 268: {13 31 0} 
Flow 270: {12 32 0} 
Flow 288: {35 61 0} 
Flow 291: {13 12 0} 
Flow 312: {20 120 0} 
Flow 318: {59 52 0} 
Flow 320: {119 264 0} 
Flow 322: {96 121 0} 
Flow 325: {13 14 0} 
Flow 336: {16 161 0} 
Flow 338: {15 36 0} 
Flow 339: {36 69 0} 
Flow 380: {16 72 0} 
Flow 423: {17 12 0} 
Flow 430: {11 1 0} 
Flow 444: {60 59 0} 
Flow 463: {78 223 0} 
Flow 476: {18 12 0} 
Flow 495: {69 36 0} 
Flow 501: {57 60 0} 
Flow 571: {73 74 0} 
Flow 608: {23 30 0} 
Flow 611: {23 24 0} 
Flow 611: {71 53 0} 
Flow 613: {35 180 0} 
Flow 620: {46 191 0} 
Flow 623: {49 50 0} 
Flow 624: {53 198 0} 
Flow 627: {55 71 0} 
Flow 634: {97 74 0} 
Flow 653: {100 245 0} 
Flow 665: {39 34 0} 
Flow 665: {113 111 0} 
Flow 672: {26 25 0} 
Flow 678: {142 141 0} 
Flow 692: {25 28 0} 
Flow 710: {95 92 0} 
Flow 722: {7 6 0} 
Flow 760: {48 108 0} 
Flow 770: {77 100 0} 
Flow 773: {108 253 0} 
Flow 775: {110 255 0} 
Flow 782: {123 268 0} 
Flow 799: {26 24 0} 
Flow 813: {24 55 0} 
Flow 828: {77 98 0} 
Flow 828: {98 99 0} 
Flow 842: {47 192 0} 
Flow 852: {47 42 0} 
Flow 855: {28 82 0} 
Flow 869: {26 85 0} 
Flow 891: {30 26 0} 
Flow 894: {53 54 0} 
Flow 896: {30 23 0} 
Flow 913: {32 35 0} 
Flow 924: {11 156 0} 
Flow 938: {61 72 0} 
Flow 944: {70 80 0} 
Flow 948: {65 210 0} 
Flow 969: {96 89 0} 
Flow 994: {75 56 0} 
Flow 1002: {24 26 0} 
Flow 1010: {38 75 0} 
Flow 1013: {38 119 0} 
Flow 1015: {88 96 0} 
Flow 1027: {38 23 0} 
Flow 1034: {114 116 0} 
Flow 1047: {37 38 0} 
Flow 1048: {34 118 0} 
Flow 1051: {40 37 0} 
Flow 1053: {39 40 0} 
Flow 1054: {46 49 0} 
Flow 1054: {47 125 0} 
Flow 1084: {43 109 0} 
Flow 1088: {109 142 0} 
Flow 1091: {142 143 0} 
Flow 1096: {45 47 0} 
Flow 1108: {46 125 0} 
Flow 1115: {9 1 0} 
Flow 1124: {77 25 0} 
Flow 1127: {35 32 0} 
Flow 1138: {48 193 0} 
Flow 1139: {50 195 0} 
Flow 1150: {126 121 0} 
Flow 1169: {99 101 0} 
Flow 1170: {92 106 0} 
Flow 1170: {127 2 0} 
Flow 1176: {98 76 0} 
Flow 1196: {48 47 0} 
Flow 1219: {121 74 0} 
Flow 1219: {128 126 0} 
Flow 1224: {99 98 0} 
Flow 1235: {48 41 0} 
Flow 1276: {49 46 0} 
Flow 1286: {51 59 0} 
Flow 1292: {57 80 0} 
Flow 1298: {134 53 0} 
Flow 1302: {81 64 0} 
Flow 1315: {58 82 0} 
Flow 1326: {12 13 0} 
Flow 1345: {118 34 0} 
Flow 1356: {82 83 0} 
Flow 1378: {53 56 0} 
Flow 1379: {76 221 0} 
Flow 1391: {91 236 0} 
Flow 1396: {76 98 0} 
Flow 1403: {105 104 0} 
Flow 1427: {137 282 0} 
Flow 1444: {40 185 0} 
Flow 1491: {56 75 0} 
Flow 1491: {75 38 0} 
Flow 1499: {56 53 0} 
Flow 1562: {59 54 0} 
Flow 1564: {28 173 0} 
Flow 1572: {53 71 0} 
Flow 1572: {119 38 0} 
Flow 1580: {49 194 0} 
Flow 1614: {53 21 0} 
Flow 1625: {117 262 0} 
Flow 1636: {133 278 0} 
Flow 1637: {134 279 0} 
Flow 1644: {32 12 0} 
Flow 1682: {72 96 0} 
Flow 1688: {57 58 0} 
Flow 1690: {120 123 0} 
Flow 1692: {53 133 0} 
Flow 1710: {61 62 0} 
Flow 1738: {124 47 0} 
Flow 1761: {13 158 0} 
Flow 1763: {72 16 0} 
Flow 1767: {21 53 0} 
Flow 1785: {72 217 0} 
Flow 1789: {66 99 0} 
Flow 1820: {63 64 0} 
Flow 1829: {64 81 0} 
Flow 1844: {41 143 0} 
Flow 1852: {12 157 0} 
Flow 1871: {82 28 0} 
Flow 1876: {62 61 0} 
Flow 1878: {89 234 0} 
Flow 1884: {64 63 0} 
Flow 1890: {65 63 0} 
Flow 1899: {27 21 0} 
Flow 1901: {65 66 0} 
Flow 1919: {59 204 0} 
Flow 1919: {67 99 0} 
Flow 1925: {16 19 0} 
Flow 1934: {83 82 0} 
Flow 1934: {82 27 0} 
Flow 1956: {15 31 0} 
Flow 1956: {31 13 0} 
Flow 1975: {79 224 0} 
Flow 1978: {69 70 0} 
