Number of groups: 507
Flow 41: {143 42} 
Flow 97: {1 11} 
Flow 184: {2 1} 
Flow 250: {11 99} 
Flow 255: {104 257} 
Flow 319: {16 169} 
Flow 418: {153 115} 
Flow 455: {152 305} 
Flow 466: {12 11} 
Flow 520: {65 218} 
Flow 538: {4 145} 
Flow 579: {6 5} 
Flow 582: {64 127} 
Flow 591: {137 136} 
Flow 703: {69 82} 
Flow 715: {108 261} 
Flow 809: {52 137} 
Flow 848: {5 9} 
Flow 849: {9 14} 
Flow 884: {125 278} 
Flow 928: {8 145} 
Flow 1010: {99 252} 
Flow 1015: {7 12} 
Flow 1020: {120 31} 
Flow 1058: {11 14} 
Flow 1108: {45 198} 
Flow 1108: {145 3} 
Flow 1171: {8 7} 
Flow 1242: {67 69} 
Flow 1415: {143 48} 
Flow 1460: {5 6} 
Flow 1470: {100 103} 
Flow 1507: {10 14} 
Flow 1555: {75 36} 
Flow 1589: {70 223} 
Flow 1604: {85 238} 
Flow 1845: {22 175} 
Flow 1848: {25 178} 
Flow 1884: {17 61} 
Flow 2120: {6 145} 
Flow 2339: {60 213} 
Flow 2388: {69 109} 
Flow 2464: {75 34} 
Flow 2477: {46 199} 
Flow 2518: {87 240} 
Flow 2584: {153 306} 
Flow 2587: {3 156} 
Flow 2588: {4 157} 
Flow 2741: {144 18} 
Flow 2794: {51 59} 
Flow 2830: {79 95} 
Flow 3013: {116 140} 
Flow 3048: {11 12} 
Flow 3133: {152 81} 
Flow 3149: {110 263} 
Flow 3168: {21 24} 
Flow 3169: {50 130} 
Flow 3226: {120 35} 
Flow 3279: {153 88} 
Flow 3305: {22 82} 
Flow 3351: {24 152} 
Flow 3363: {19 172} 
Flow 3399: {55 56} 
Flow 3419: {149 150} 
Flow 3494: {76 151} 
Flow 3495: {23 24} 
Flow 3501: {150 140} 
Flow 3552: {57 210} 
Flow 3556: {61 214} 
Flow 3591: {96 249} 
Flow 3598: {31 120} 
Flow 3618: {87 123} 
Flow 3634: {81 138} 
Flow 3741: {25 82} 
Flow 3783: {136 289} 
Flow 3915: {26 82} 
Flow 3932: {67 153} 
Flow 3957: {27 82} 
Flow 3991: {82 69} 
Flow 4036: {69 67} 
Flow 4083: {143 19} 
Flow 4097: {124 146} 
Flow 4105: {28 82} 
Flow 4133: {30 183} 
Flow 4187: {83 84} 
Flow 4204: {98 101} 
Flow 4248: {145 298} 
Flow 4320: {29 141} 
Flow 4333: {141 77} 
Flow 4419: {30 29} 
Flow 4513: {107 106} 
Flow 4520: {141 55} 
Flow 4618: {59 212} 
Flow 4676: {143 117} 
Flow 4837: {126 279} 
Flow 4857: {32 120} 
Flow 4951: {126 64} 
Flow 4955: {55 141} 
Flow 4977: {153 114} 
Flow 4978: {115 268} 
Flow 4989: {33 34} 
Flow 5028: {12 165} 
Flow 5051: {33 36} 
Flow 5054: {34 39} 
Flow 5066: {51 204} 
Flow 5109: {34 75} 
Flow 5116: {11 98} 
Flow 5236: {35 120} 
Flow 5350: {141 29} 
Flow 5354: {36 33} 
Flow 5355: {35 188} 
Flow 5430: {153 111} 
Flow 5465: {36 75} 
Flow 5586: {40 125} 
Flow 5610: {139 292} 
Flow 5633: {9 162} 
Flow 5634: {10 163} 
Flow 5645: {149 122} 
Flow 5698: {75 228} 
Flow 5714: {38 74} 
Flow 5810: {39 34} 
Flow 5843: {153 68} 
Flow 5854: {116 79} 
Flow 5883: {127 65} 
Flow 5917: {39 75} 
Flow 5932: {37 74} 
Flow 5949: {21 174} 
Flow 5981: {40 37} 
Flow 5985: {118 119} 
Flow 5996: {69 222} 
Flow 6013: {86 239} 
Flow 6135: {141 56} 
Flow 6224: {41 143} 
Flow 6271: {39 192} 
Flow 6295: {75 126} 
Flow 6322: {42 143} 
Flow 6380: {149 302} 
Flow 6486: {103 256} 
Flow 6522: {43 143} 
Flow 6589: {54 207} 
Flow 6665: {44 143} 
Flow 6689: {1 154} 
Flow 6728: {40 193} 
Flow 6781: {45 143} 
Flow 6874: {34 187} 
Flow 6891: {18 137} 
Flow 6932: {93 246} 
Flow 6948: {46 50} 
Flow 6994: {1 2} 
Flow 7019: {47 143} 
Flow 7103: {112 265} 
Flow 7248: {48 143} 
Flow 7295: {140 150} 
Flow 7313: {17 170} 
Flow 7325: {49 50} 
Flow 7343: {47 200} 
Flow 7387: {92 245} 
Flow 7455: {137 52} 
Flow 7508: {132 144} 
Flow 7527: {19 143} 
Flow 7536: {20 16} 
Flow 7645: {144 133} 
Flow 7650: {130 50} 
Flow 7707: {18 15} 
Flow 7715: {116 269} 
Flow 7729: {144 132} 
Flow 7920: {51 52} 
Flow 7944: {74 37} 
Flow 7982: {53 51} 
Flow 8030: {127 280} 
Flow 8107: {54 51} 
Flow 8123: {54 52} 
Flow 8148: {54 93} 
Flow 8150: {143 79} 
Flow 8386: {82 26} 
Flow 8410: {56 141} 
Flow 8459: {1 100} 
Flow 8479: {56 55} 
Flow 8536: {87 152} 
Flow 8550: {119 118} 
Flow 8566: {51 54} 
Flow 8586: {13 31} 
Flow 8591: {80 233} 
Flow 8611: {6 12} 
Flow 8687: {122 87} 
Flow 8781: {118 271} 
Flow 8814: {58 57} 
Flow 8824: {145 8} 
Flow 8846: {59 51} 
Flow 8875: {59 60} 
Flow 8932: {137 18} 
Flow 8994: {60 57} 
Flow 9011: {133 16} 
Flow 9027: {60 59} 
Flow 9044: {57 51} 
Flow 9045: {78 231} 
Flow 9177: {61 17} 
Flow 9202: {61 145} 
Flow 9232: {113 266} 
Flow 9243: {124 277} 
Flow 9258: {145 6} 
Flow 9262: {143 296} 
Flow 9319: {143 47} 
Flow 9370: {62 82} 
Flow 9472: {63 141} 
Flow 9484: {57 60} 
Flow 9515: {141 92} 
Flow 9551: {128 281} 
Flow 9554: {144 131} 
Flow 9576: {63 116} 
Flow 9597: {24 21} 
Flow 9627: {64 126} 
Flow 9629: {53 206} 
Flow 9642: {65 73} 
Flow 9668: {52 93} 
Flow 9670: {140 116} 
Flow 9873: {146 299} 
Flow 9884: {66 153} 
Flow 10230: {50 46} 
Flow 10249: {68 153} 
Flow 10250: {153 66} 
Flow 10447: {108 112} 
Flow 10470: {135 288} 
Flow 10483: {147 148} 
Flow 10527: {127 64} 
Flow 10612: {70 153} 
Flow 10647: {71 153} 
Flow 10689: {20 50} 
Flow 10811: {72 153} 
Flow 10817: {153 67} 
Flow 10896: {105 258} 
Flow 10935: {144 297} 
Flow 11200: {102 105} 
Flow 11214: {119 272} 
Flow 11224: {61 129} 
Flow 11232: {137 290} 
Flow 11450: {16 20} 
Flow 11497: {98 251} 
Flow 11588: {118 75} 
Flow 11625: {153 73} 
Flow 11655: {124 83} 
Flow 11672: {77 141} 
Flow 11700: {55 140} 
Flow 11702: {151 304} 
Flow 11709: {5 158} 
Flow 11791: {78 77} 
Flow 11826: {123 276} 
Flow 11854: {78 151} 
Flow 11864: {120 14} 
Flow 11889: {34 33} 
Flow 11989: {18 134} 
Flow 11989: {134 287} 
Flow 12023: {15 168} 
Flow 12059: {15 18} 
Flow 12078: {153 70} 
Flow 12151: {80 85} 
Flow 12155: {148 301} 
Flow 12206: {138 80} 
Flow 12223: {116 63} 
Flow 12486: {82 22} 
Flow 12508: {143 44} 
Flow 12610: {147 300} 
Flow 12644: {82 28} 
Flow 12646: {29 30} 
Flow 12756: {84 83} 
Flow 12791: {23 176} 
Flow 12816: {48 201} 
Flow 12854: {80 123} 
Flow 12893: {85 83} 
Flow 12916: {123 87} 
Flow 12973: {86 124} 
Flow 12999: {79 232} 
Flow 13016: {153 97} 
Flow 13133: {9 5} 
Flow 13134: {62 215} 
Flow 13185: {114 267} 
Flow 13203: {122 149} 
Flow 13231: {88 153} 
Flow 13396: {20 173} 
Flow 13397: {89 153} 
Flow 13552: {90 153} 
Flow 13609: {83 85} 
Flow 13647: {120 273} 
Flow 13706: {26 179} 
Flow 13727: {91 139} 
Flow 13738: {57 58} 
Flow 13773: {82 94} 
Flow 13773: {94 247} 
Flow 13779: {100 253} 
Flow 13805: {65 127} 
Flow 13864: {32 185} 
Flow 13888: {56 209} 
Flow 13925: {92 141} 
Flow 13982: {92 151} 
Flow 13988: {93 52} 
Flow 13990: {3 145} 
Flow 14038: {93 54} 
Flow 14160: {24 177} 
Flow 14173: {125 40} 
Flow 14219: {94 82} 
Flow 14241: {109 106} 
Flow 14290: {2 155} 
Flow 14332: {44 197} 
Flow 14340: {95 79} 
Flow 14343: {95 63} 
Flow 14409: {122 275} 
Flow 14431: {79 143} 
Flow 14467: {96 108} 
Flow 14500: {51 57} 
Flow 14540: {101 254} 
Flow 14597: {97 153} 
Flow 14612: {141 143} 
Flow 14655: {63 216} 
Flow 14687: {63 95} 
Flow 14721: {130 283} 
Flow 14739: {140 147} 
Flow 14804: {98 11} 
Flow 14858: {31 119} 
Flow 14878: {18 135} 
Flow 14917: {152 24} 
Flow 14919: {24 23} 
Flow 14939: {99 11} 
Flow 14960: {64 217} 
Flow 14991: {95 248} 
Flow 15000: {99 102} 
Flow 15249: {50 49} 
Flow 15254: {52 54} 
Flow 15303: {101 98} 
Flow 15436: {102 11} 
Flow 15443: {139 91} 
Flow 15506: {100 1} 
Flow 15543: {75 39} 
Flow 15554: {12 6} 
Flow 15554: {103 100} 
Flow 15594: {153 90} 
Flow 15658: {83 124} 
Flow 15788: {133 286} 
Flow 15803: {104 153} 
Flow 15874: {83 139} 
Flow 15874: {105 102} 
Flow 15905: {97 250} 
Flow 15907: {102 99} 
Flow 15968: {7 8} 
Flow 15981: {107 153} 
Flow 15987: {109 69} 
Flow 16008: {106 107} 
Flow 16029: {106 109} 
Flow 16170: {58 211} 
Flow 16277: {13 166} 
Flow 16306: {42 195} 
Flow 16336: {153 72} 
Flow 16386: {85 80} 
Flow 16422: {6 159} 
Flow 16444: {28 181} 
Flow 16512: {82 108} 
Flow 16571: {52 3} 
Flow 16590: {112 108} 
Flow 16595: {113 112} 
Flow 16603: {119 31} 
Flow 16661: {140 119} 
Flow 16670: {102 255} 
Flow 16672: {153 104} 
Flow 16726: {111 153} 
Flow 16730: {14 10} 
Flow 16765: {124 140} 
Flow 16791: {153 71} 
Flow 16870: {153 139} 
Flow 16903: {112 113} 
