Number of groups: 791
Flow 16: {19 17} 
Flow 45: {38 46} 
Flow 85: {85 86} 
Flow 151: {1 4} 
Flow 153: {81 19} 
Flow 212: {2 53} 
Flow 344: {3 1} 
Flow 349: {35 30} 
Flow 350: {1 2} 
Flow 365: {46 207} 
Flow 372: {3 53} 
Flow 381: {3 62} 
Flow 393: {2 64} 
Flow 446: {2 127} 
Flow 451: {94 132} 
Flow 470: {3 7} 
Flow 477: {158 319} 
Flow 481: {4 1} 
Flow 508: {68 66} 
Flow 515: {2 35} 
Flow 531: {2 52} 
Flow 544: {4 7} 
Flow 545: {4 68} 
Flow 559: {81 80} 
Flow 587: {16 108} 
Flow 620: {4 141} 
Flow 628: {4 53} 
Flow 668: {65 66} 
Flow 671: {2 32} 
Flow 701: {7 62} 
Flow 705: {5 6} 
Flow 738: {32 99} 
Flow 748: {2 34} 
Flow 748: {109 270} 
Flow 785: {146 307} 
Flow 799: {5 7} 
Flow 832: {2 33} 
Flow 864: {65 226} 
Flow 867: {6 68} 
Flow 878: {18 79} 
Flow 890: {94 91} 
Flow 995: {30 36} 
Flow 1036: {2 77} 
Flow 1084: {125 286} 
Flow 1124: {53 4} 
Flow 1159: {53 40} 
Flow 1199: {8 9} 
Flow 1226: {107 268} 
Flow 1390: {118 107} 
Flow 1502: {53 63} 
Flow 1503: {70 64} 
Flow 1507: {25 75} 
Flow 1548: {110 109} 
Flow 1609: {11 10} 
Flow 1657: {11 26} 
Flow 1691: {25 114} 
Flow 1708: {22 146} 
Flow 1709: {25 110} 
Flow 1722: {20 22} 
Flow 1734: {11 135} 
Flow 1739: {146 25} 
Flow 1741: {2 142} 
Flow 1910: {12 20} 
Flow 1932: {12 173} 
Flow 1957: {53 38} 
Flow 1985: {10 12} 
Flow 2000: {13 10} 
Flow 2026: {128 116} 
Flow 2094: {14 15} 
Flow 2127: {9 54} 
Flow 2130: {54 26} 
Flow 2139: {39 60} 
Flow 2203: {14 16} 
Flow 2216: {136 137} 
Flow 2254: {15 14} 
Flow 2267: {15 16} 
Flow 2283: {130 99} 
Flow 2303: {16 21} 
Flow 2313: {74 235} 
Flow 2339: {10 8} 
Flow 2422: {16 23} 
Flow 2423: {23 24} 
Flow 2440: {41 202} 
Flow 2598: {39 200} 
Flow 2603: {44 205} 
Flow 2628: {69 230} 
Flow 2632: {73 234} 
Flow 2722: {127 2} 
Flow 2731: {26 11} 
Flow 2738: {17 19} 
Flow 2884: {4 165} 
Flow 2971: {92 253} 
Flow 2998: {53 26} 
Flow 3022: {140 143} 
Flow 3042: {75 2} 
Flow 3074: {30 35} 
Flow 3099: {146 26} 
Flow 3156: {145 117} 
Flow 3215: {21 16} 
Flow 3249: {50 211} 
Flow 3309: {21 20} 
Flow 3348: {53 149} 
Flow 3349: {25 144} 
Flow 3409: {2 50} 
Flow 3463: {135 78} 
Flow 3570: {26 51} 
Flow 3581: {75 62} 
Flow 3613: {94 255} 
Flow 3635: {116 277} 
Flow 3655: {23 20} 
Flow 3657: {2 138} 
Flow 3679: {70 160} 
Flow 3695: {24 23} 
Flow 3696: {23 16} 
Flow 3712: {34 30} 
Flow 3741: {34 62} 
Flow 3798: {24 13} 
Flow 3861: {21 182} 
Flow 3900: {61 222} 
Flow 3911: {53 72} 
Flow 3952: {18 112} 
Flow 4015: {16 15} 
Flow 4048: {34 49} 
Flow 4090: {91 252} 
Flow 4103: {53 78} 
Flow 4130: {131 292} 
Flow 4147: {102 148} 
Flow 4166: {66 65} 
Flow 4209: {66 68} 
Flow 4211: {52 213} 
Flow 4237: {78 239} 
Flow 4264: {27 29} 
Flow 4265: {25 128} 
Flow 4276: {25 145} 
Flow 4347: {28 27} 
Flow 4349: {30 191} 
Flow 4381: {140 62} 
Flow 4382: {67 63} 
Flow 4396: {75 77} 
Flow 4405: {86 247} 
Flow 4438: {119 280} 
Flow 4446: {67 68} 
Flow 4456: {69 75} 
Flow 4457: {138 299} 
Flow 4473: {28 67} 
Flow 4495: {29 66} 
Flow 4499: {66 75} 
Flow 4507: {27 188} 
Flow 4508: {27 28} 
Flow 4514: {40 30} 
Flow 4518: {46 39} 
Flow 4524: {44 45} 
Flow 4546: {63 67} 
Flow 4676: {30 37} 
Flow 4728: {30 31} 
Flow 4847: {31 48} 
Flow 4851: {47 52} 
Flow 4852: {53 214} 
Flow 4864: {30 40} 
Flow 4985: {25 186} 
Flow 5042: {19 83} 
Flow 5154: {33 2} 
Flow 5192: {75 73} 
Flow 5251: {33 30} 
Flow 5326: {34 37} 
Flow 5327: {46 48} 
Flow 5418: {37 46} 
