Number of groups: 791
Flow 16: {19 17 0} 
Flow 45: {38 46 0} 
Flow 85: {85 86 0} 
Flow 151: {1 4 0} 
Flow 153: {81 19 0} 
Flow 212: {2 53 0} 
Flow 344: {3 1 0} 
Flow 349: {35 30 0} 
Flow 350: {1 2 0} 
Flow 365: {46 207 0} 
Flow 372: {3 53 0} 
Flow 381: {3 62 0} 
Flow 393: {2 64 0} 
Flow 446: {2 127 0} 
Flow 451: {94 132 0} 
Flow 470: {3 7 0} 
Flow 477: {158 319 0} 
Flow 481: {4 1 0} 
Flow 508: {68 66 0} 
Flow 515: {2 35 0} 
Flow 531: {2 52 0} 
Flow 544: {4 7 0} 
Flow 545: {4 68 0} 
Flow 559: {81 80 0} 
Flow 587: {16 108 0} 
Flow 620: {4 141 0} 
Flow 628: {4 53 0} 
Flow 668: {65 66 0} 
Flow 671: {2 32 0} 
Flow 701: {7 62 0} 
Flow 705: {5 6 0} 
Flow 738: {32 99 0} 
Flow 748: {2 34 0} 
Flow 748: {109 270 0} 
Flow 785: {146 307 0} 
Flow 799: {5 7 0} 
Flow 832: {2 33 0} 
Flow 864: {65 226 0} 
Flow 867: {6 68 0} 
Flow 878: {18 79 0} 
Flow 890: {94 91 0} 
Flow 995: {30 36 0} 
Flow 1036: {2 77 0} 
Flow 1084: {125 286 0} 
Flow 1124: {53 4 0} 
Flow 1159: {53 40 0} 
Flow 1199: {8 9 0} 
Flow 1226: {107 268 0} 
Flow 1390: {118 107 0} 
Flow 1502: {53 63 0} 
Flow 1503: {70 64 0} 
Flow 1507: {25 75 0} 
Flow 1548: {110 109 0} 
Flow 1609: {11 10 0} 
Flow 1657: {11 26 0} 
Flow 1691: {25 114 0} 
Flow 1708: {22 146 0} 
Flow 1709: {25 110 0} 
Flow 1722: {20 22 0} 
Flow 1734: {11 135 0} 
Flow 1739: {146 25 0} 
Flow 1741: {2 142 0} 
Flow 1910: {12 20 0} 
Flow 1932: {12 173 0} 
Flow 1957: {53 38 0} 
Flow 1985: {10 12 0} 
Flow 2000: {13 10 0} 
Flow 2026: {128 116 0} 
Flow 2094: {14 15 0} 
Flow 2127: {9 54 0} 
Flow 2130: {54 26 0} 
Flow 2139: {39 60 0} 
Flow 2203: {14 16 0} 
Flow 2216: {136 137 0} 
Flow 2254: {15 14 0} 
Flow 2267: {15 16 0} 
Flow 2283: {130 99 0} 
Flow 2303: {16 21 0} 
Flow 2313: {74 235 0} 
Flow 2339: {10 8 0} 
Flow 2422: {16 23 0} 
Flow 2423: {23 24 0} 
Flow 2440: {41 202 0} 
Flow 2598: {39 200 0} 
Flow 2603: {44 205 0} 
Flow 2628: {69 230 0} 
Flow 2632: {73 234 0} 
Flow 2722: {127 2 0} 
Flow 2731: {26 11 0} 
Flow 2738: {17 19 0} 
Flow 2884: {4 165 0} 
Flow 2971: {92 253 0} 
Flow 2998: {53 26 0} 
Flow 3022: {140 143 0} 
Flow 3042: {75 2 0} 
Flow 3074: {30 35 0} 
Flow 3099: {146 26 0} 
Flow 3156: {145 117 0} 
Flow 3215: {21 16 0} 
Flow 3249: {50 211 0} 
Flow 3309: {21 20 0} 
Flow 3348: {53 149 0} 
Flow 3349: {25 144 0} 
Flow 3409: {2 50 0} 
Flow 3463: {135 78 0} 
Flow 3570: {26 51 0} 
Flow 3581: {75 62 0} 
Flow 3613: {94 255 0} 
Flow 3635: {116 277 0} 
Flow 3655: {23 20 0} 
Flow 3657: {2 138 0} 
Flow 3679: {70 160 0} 
Flow 3695: {24 23 0} 
Flow 3696: {23 16 0} 
Flow 3712: {34 30 0} 
Flow 3741: {34 62 0} 
Flow 3798: {24 13 0} 
Flow 3861: {21 182 0} 
Flow 3900: {61 222 0} 
Flow 3911: {53 72 0} 
Flow 3952: {18 112 0} 
Flow 4015: {16 15 0} 
Flow 4048: {34 49 0} 
Flow 4090: {91 252 0} 
Flow 4103: {53 78 0} 
Flow 4130: {131 292 0} 
Flow 4147: {102 148 0} 
Flow 4166: {66 65 0} 
Flow 4209: {66 68 0} 
Flow 4211: {52 213 0} 
Flow 4237: {78 239 0} 
Flow 4264: {27 29 0} 
Flow 4265: {25 128 0} 
Flow 4276: {25 145 0} 
Flow 4347: {28 27 0} 
Flow 4349: {30 191 0} 
Flow 4381: {140 62 0} 
Flow 4382: {67 63 0} 
Flow 4396: {75 77 0} 
Flow 4405: {86 247 0} 
Flow 4438: {119 280 0} 
Flow 4446: {67 68 0} 
Flow 4456: {69 75 0} 
Flow 4457: {138 299 0} 
Flow 4473: {28 67 0} 
Flow 4495: {29 66 0} 
Flow 4499: {66 75 0} 
Flow 4507: {27 188 0} 
Flow 4508: {27 28 0} 
Flow 4514: {40 30 0} 
Flow 4518: {46 39 0} 
Flow 4524: {44 45 0} 
Flow 4546: {63 67 0} 
Flow 4676: {30 37 0} 
Flow 4728: {30 31 0} 
Flow 4847: {31 48 0} 
Flow 4851: {47 52 0} 
Flow 4852: {53 214 0} 
Flow 4864: {30 40 0} 
Flow 4985: {25 186 0} 
Flow 5042: {19 83 0} 
Flow 5154: {33 2 0} 
Flow 5192: {75 73 0} 
Flow 5251: {33 30 0} 
Flow 5326: {34 37 0} 
Flow 5327: {46 48 0} 
Flow 5418: {37 46 0} 
Flow 5475: {36 197 0} 
Flow 5507: {2 68 0} 
Flow 5511: {72 233 0} 
Flow 5513: {35 64 0} 
Flow 5548: {34 102 0} 
Flow 5590: {2 7 0} 
Flow 5591: {152 313 0} 
Flow 5624: {24 185 0} 
Flow 5626: {30 34 0} 
Flow 5658: {59 220 0} 
