Number of groups: 405
Flow 22: {81 98} 
Flow 40: {112 127} 
Flow 71: {38 41} 
Flow 73: {44 223} 
Flow 110: {103 109} 
Flow 117: {124 303} 
Flow 119: {115 113} 
Flow 121: {27 26} 
Flow 124: {72 100} 
Flow 135: {31 27} 
Flow 154: {3 2} 
Flow 199: {133 312} 
Flow 202: {85 81} 
Flow 209: {4 3} 
Flow 219: {12 191} 
Flow 220: {5 125} 
Flow 229: {6 5} 
Flow 237: {77 121} 
Flow 262: {86 88} 
Flow 262: {87 89} 
Flow 324: {81 85} 
Flow 338: {9 61} 
Flow 343: {61 59} 
Flow 372: {43 86} 
Flow 384: {65 8} 
Flow 400: {19 24} 
Flow 423: {22 25} 
Flow 469: {36 123} 
Flow 492: {103 128} 
Flow 514: {69 70} 
Flow 534: {10 14} 
Flow 538: {79 76} 
Flow 551: {12 10} 
Flow 552: {68 124} 
Flow 563: {87 88} 
Flow 563: {101 280} 
Flow 605: {38 34} 
Flow 653: {66 68} 
Flow 663: {23 116} 
Flow 685: {13 192} 
Flow 711: {14 15} 
Flow 722: {73 13} 
Flow 731: {99 278} 
Flow 740: {120 299} 
Flow 765: {23 202} 
Flow 767: {26 205} 
Flow 769: {130 100} 
Flow 776: {15 14} 
Flow 789: {76 255} 
Flow 856: {13 69} 
Flow 893: {17 49} 
Flow 895: {55 94} 
Flow 897: {33 30} 
Flow 897: {119 126} 
Flow 938: {113 292} 
Flow 942: {58 48} 
Flow 952: {135 136} 
Flow 973: {59 64} 
Flow 981: {18 19} 
Flow 1012: {79 78} 
Flow 1034: {95 96} 
Flow 1039: {61 9} 
Flow 1051: {78 257} 
Flow 1092: {20 24} 
Flow 1094: {21 19} 
Flow 1096: {22 107} 
Flow 1096: {107 127} 
Flow 1102: {127 106} 
Flow 1147: {51 122} 
Flow 1191: {96 275} 
Flow 1203: {125 304} 
Flow 1212: {7 8} 
Flow 1213: {25 22} 
Flow 1233: {26 28} 
Flow 1256: {121 71} 
Flow 1284: {117 120} 
Flow 1342: {130 131} 
Flow 1346: {28 103} 
Flow 1355: {59 61} 
Flow 1380: {109 72} 
Flow 1406: {30 33} 
Flow 1418: {17 196} 
Flow 1421: {20 199} 
Flow 1445: {29 30} 
Flow 1483: {29 115} 
Flow 1510: {1 83} 
Flow 1539: {87 266} 
Flow 1566: {32 29} 
Flow 1568: {33 126} 
Flow 1581: {113 112} 
Flow 1603: {18 197} 
Flow 1621: {135 97} 
Flow 1645: {10 12} 
Flow 1648: {93 272} 
Flow 1692: {40 16} 
Flow 1695: {14 10} 
Flow 1699: {34 133} 
Flow 1739: {93 91} 
Flow 1756: {130 309} 
Flow 1765: {10 189} 
Flow 1771: {39 123} 
Flow 1787: {36 40} 
Flow 1798: {41 38} 
Flow 1800: {86 43} 
Flow 1820: {16 195} 
Flow 1836: {66 121} 
Flow 1838: {60 61} 
Flow 1863: {123 302} 
Flow 1873: {109 108} 
Flow 1874: {84 83} 
Flow 1912: {91 92} 
Flow 1945: {134 100} 
Flow 1962: {49 102} 
Flow 1984: {90 269} 
Flow 1989: {96 95} 
Flow 1995: {104 283} 
Flow 2004: {119 114} 
Flow 2006: {118 297} 
Flow 2014: {72 109} 
Flow 2040: {44 64} 
Flow 2044: {107 22} 
Flow 2050: {28 207} 
Flow 2055: {36 215} 
Flow 2056: {40 37} 
Flow 2056: {37 216} 
Flow 2063: {102 47} 
Flow 2070: {57 236} 
Flow 2076: {64 63} 
Flow 2098: {57 101} 
Flow 2135: {64 59} 
Flow 2135: {137 138} 
Flow 2135: {138 317} 
Flow 2152: {45 57} 
Flow 2177: {45 46} 
Flow 2177: {81 260} 
Flow 2185: {54 55} 
Flow 2191: {57 49} 
Flow 2207: {46 44} 
Flow 2221: {88 87} 
Flow 2230: {7 19} 
Flow 2242: {47 102} 
Flow 2243: {124 68} 
Flow 2268: {1 125} 
Flow 2285: {99 135} 
Flow 2289: {83 1} 
Flow 2289: {126 31} 
Flow 2294: {122 42} 
Flow 2304: {61 240} 
Flow 2305: {9 62} 
Flow 2310: {70 249} 
Flow 2369: {49 51} 
Flow 2429: {49 52} 
Flow 2435: {52 101} 
Flow 2440: {85 84} 
Flow 2461: {5 6} 
Flow 2469: {50 17} 
Flow 2508: {50 49} 
Flow 2516: {92 91} 
Flow 2536: {119 118} 
Flow 2548: {100 130} 
Flow 2580: {59 238} 
Flow 2612: {95 97} 
Flow 2633: {122 43} 
Flow 2641: {24 20} 
Flow 2691: {109 110} 
Flow 2704: {135 314} 
Flow 2741: {54 53} 
Flow 2803: {53 101} 
Flow 2859: {94 96} 
Flow 2881: {57 45} 
Flow 2921: {52 231} 
Flow 2986: {3 182} 
Flow 3040: {60 59} 
Flow 3100: {110 105} 
Flow 3113: {123 39} 
Flow 3133: {61 60} 
Flow 3158: {105 284} 
Flow 3160: {138 108} 
Flow 3163: {111 290} 
Flow 3165: {127 112} 
Flow 3212: {62 9} 
Flow 3255: {63 64} 
Flow 3303: {28 129} 
Flow 3313: {98 81} 
Flow 3319: {91 93} 
Flow 3326: {19 198} 
Flow 3372: {53 54} 
Flow 3405: {24 98} 
Flow 3418: {66 70} 
Flow 3425: {135 134} 
Flow 3453: {76 79} 
Flow 3495: {4 183} 
Flow 3499: {8 187} 
Flow 3514: {127 107} 
Flow 3527: {80 75} 
Flow 3548: {74 253} 
Flow 3564: {121 77} 
Flow 3578: {2 119} 
Flow 3588: {127 306} 
Flow 3591: {73 15} 
Flow 3654: {16 40} 
Flow 3663: {69 13} 
Flow 3700: {68 66} 
Flow 3717: {76 60} 
Flow 3776: {123 41} 
Flow 3780: {112 291} 
Flow 3792: {131 310} 
Flow 3834: {124 80} 
Flow 3838: {46 45} 
Flow 3844: {77 78} 
Flow 3844: {108 287} 
Flow 3862: {71 121} 
Flow 3927: {128 307} 
Flow 3951: {29 208} 
Flow 3960: {58 44} 
Flow 3962: {70 66} 
Flow 3963: {78 79} 
Flow 3982: {12 93} 
Flow 4025: {38 217} 
Flow 4034: {8 65} 
Flow 4043: {138 137} 
Flow 4047: {74 108} 
Flow 4113: {44 102} 
Flow 4169: {67 246} 
Flow 4229: {48 58} 
Flow 4254: {80 124} 
Flow 4288: {59 65} 
Flow 4325: {132 133} 
Flow 4333: {82 83} 
Flow 4337: {121 67} 
Flow 4359: {122 301} 
Flow 4364: {125 2} 
Flow 4379: {41 123} 
Flow 4383: {83 84} 
Flow 4403: {39 218} 
Flow 4405: {41 220} 
Flow 4422: {19 7} 
Flow 4426: {78 77} 
Flow 4431: {59 60} 
Flow 4443: {98 277} 
Flow 4460: {119 298} 
Flow 4462: {84 85} 
Flow 4468: {129 128} 
Flow 4493: {69 248} 
Flow 4494: {121 66} 
Flow 4551: {28 26} 
Flow 4571: {71 250} 
Flow 4613: {136 137} 
Flow 4617: {3 4} 
Flow 4620: {88 86} 
Flow 4647: {89 92} 
Flow 4671: {108 74} 
Flow 4715: {132 311} 
Flow 4722: {2 181} 
Flow 4753: {124 67} 
