Number of groups: 790
Flow 4: {1 4 0} 
Flow 55: {30 39 0} 
Flow 70: {19 79 0} 
Flow 100: {34 102 0} 
Flow 112: {1 2 0} 
Flow 162: {26 11 0} 
Flow 183: {2 32 0} 
Flow 188: {2 37 0} 
Flow 208: {57 218 0} 
Flow 215: {2 64 0} 
Flow 217: {65 66 0} 
Flow 223: {34 72 0} 
Flow 278: {2 127 0} 
Flow 365: {3 53 0} 
Flow 374: {3 62 0} 
Flow 387: {75 236 0} 
Flow 405: {81 96 0} 
Flow 429: {3 1 0} 
Flow 440: {2 75 0} 
Flow 463: {3 7 0} 
Flow 469: {2 139 0} 
Flow 473: {2 140 0} 
Flow 476: {1 3 0} 
Flow 500: {68 66 0} 
Flow 533: {4 7 0} 
Flow 542: {4 68 0} 
Flow 557: {84 245 0} 
Flow 559: {2 34 0} 
Flow 569: {2 31 0} 
Flow 614: {4 141 0} 
Flow 626: {4 53 0} 
Flow 652: {5 7 0} 
Flow 700: {5 6 0} 
Flow 710: {2 76 0} 
Flow 711: {7 2 0} 
Flow 850: {55 216 0} 
Flow 857: {62 223 0} 
Flow 859: {6 64 0} 
Flow 862: {65 67 0} 
Flow 908: {112 113 0} 
Flow 916: {114 121 0} 
Flow 938: {143 304 0} 
Flow 957: {4 1 0} 
Flow 1003: {2 51 0} 
Flow 1005: {2 53 0} 
Flow 1013: {7 62 0} 
Flow 1052: {105 103 0} 
Flow 1124: {8 10 0} 
Flow 1141: {33 194 0} 
Flow 1160: {8 9 0} 
Flow 1236: {128 289 0} 
Flow 1295: {9 54 0} 
Flow 1349: {55 133 0} 
Flow 1470: {82 243 0} 
Flow 1525: {10 8 0} 
Flow 1566: {18 17 0} 
Flow 1588: {11 26 0} 
Flow 1621: {11 135 0} 
Flow 1663: {10 12 0} 
Flow 1687: {53 139 0} 
Flow 1695: {11 10 0} 
Flow 1803: {94 255 0} 
Flow 1841: {94 132 0} 
Flow 1868: {12 20 0} 
Flow 1993: {25 110 0} 
Flow 2031: {6 161 0} 
Flow 2044: {14 15 0} 
Flow 2093: {135 73 0} 
Flow 2116: {16 21 0} 
Flow 2136: {134 118 0} 
Flow 2142: {124 285 0} 
Flow 2144: {14 16 0} 
Flow 2169: {53 153 0} 
Flow 2187: {16 13 0} 
Flow 2189: {16 12 0} 
Flow 2191: {15 14 0} 
Flow 2201: {16 23 0} 
Flow 2321: {15 16 0} 
Flow 2393: {75 62 0} 
Flow 2417: {90 251 0} 
Flow 2444: {145 117 0} 
Flow 2448: {20 22 0} 
Flow 2571: {17 18 0} 
Flow 2591: {99 130 0} 
Flow 2645: {19 81 0} 
Flow 2693: {45 206 0} 
Flow 2709: {127 31 0} 
Flow 2717: {18 94 0} 
Flow 2729: {17 19 0} 
Flow 2764: {130 129 0} 
Flow 2802: {154 315 0} 
Flow 2815: {6 167 0} 
Flow 2825: {9 8 0} 
Flow 2849: {81 31 0} 
Flow 2858: {50 211 0} 
Flow 2864: {56 217 0} 
Flow 2868: {35 61 0} 
Flow 3002: {25 134 0} 
Flow 3003: {36 197 0} 
Flow 3027: {26 53 0} 
Flow 3050: {22 146 0} 
Flow 3073: {106 267 0} 
Flow 3144: {21 16 0} 
Flow 3211: {18 83 0} 
Flow 3289: {25 75 0} 
Flow 3391: {146 26 0} 
Flow 3412: {146 25 0} 
Flow 3464: {23 16 0} 
Flow 3474: {23 24 0} 
Flow 3474: {24 185 0} 
Flow 3490: {23 20 0} 
Flow 3533: {83 244 0} 
Flow 3643: {54 26 0} 
Flow 3658: {47 208 0} 
Flow 3670: {60 221 0} 
Flow 3710: {100 261 0} 
Flow 3714: {13 10 0} 
Flow 3718: {24 23 0} 
Flow 3755: {24 13 0} 
