Number of groups: 790
Flow 4: {1 4} 
Flow 55: {30 39} 
Flow 70: {19 79} 
Flow 100: {34 102} 
Flow 112: {1 2} 
Flow 162: {26 11} 
Flow 183: {2 32} 
Flow 188: {2 37} 
Flow 208: {57 218} 
Flow 215: {2 64} 
Flow 217: {65 66} 
Flow 223: {34 72} 
Flow 278: {2 127} 
Flow 365: {3 53} 
Flow 374: {3 62} 
Flow 387: {75 236} 
Flow 405: {81 96} 
Flow 429: {3 1} 
Flow 440: {2 75} 
Flow 463: {3 7} 
Flow 469: {2 139} 
Flow 473: {2 140} 
Flow 476: {1 3} 
Flow 500: {68 66} 
Flow 533: {4 7} 
Flow 542: {4 68} 
Flow 557: {84 245} 
Flow 559: {2 34} 
Flow 569: {2 31} 
Flow 614: {4 141} 
Flow 626: {4 53} 
Flow 652: {5 7} 
Flow 700: {5 6} 
Flow 710: {2 76} 
Flow 711: {7 2} 
Flow 850: {55 216} 
Flow 857: {62 223} 
Flow 859: {6 64} 
Flow 862: {65 67} 
Flow 908: {112 113} 
Flow 916: {114 121} 
Flow 938: {143 304} 
Flow 957: {4 1} 
Flow 1003: {2 51} 
Flow 1005: {2 53} 
Flow 1013: {7 62} 
Flow 1052: {105 103} 
Flow 1124: {8 10} 
Flow 1141: {33 194} 
Flow 1160: {8 9} 
Flow 1236: {128 289} 
Flow 1295: {9 54} 
Flow 1349: {55 133} 
Flow 1470: {82 243} 
Flow 1525: {10 8} 
Flow 1566: {18 17} 
Flow 1588: {11 26} 
Flow 1621: {11 135} 
Flow 1663: {10 12} 
Flow 1687: {53 139} 
Flow 1695: {11 10} 
Flow 1803: {94 255} 
Flow 1841: {94 132} 
Flow 1868: {12 20} 
Flow 1993: {25 110} 
Flow 2031: {6 161} 
Flow 2044: {14 15} 
Flow 2093: {135 73} 
Flow 2116: {16 21} 
Flow 2136: {134 118} 
Flow 2142: {124 285} 
Flow 2144: {14 16} 
Flow 2169: {53 153} 
Flow 2187: {16 13} 
Flow 2189: {16 12} 
Flow 2191: {15 14} 
