Number of groups: 761
Flow 3: {1 4} 
Flow 19: {65 67} 
Flow 40: {2 52} 
Flow 71: {2 127} 
Flow 118: {4 141} 
Flow 124: {1 2} 
Flow 124: {34 26} 
Flow 173: {38 46} 
Flow 217: {96 93} 
Flow 232: {26 110} 
Flow 279: {2 140} 
Flow 284: {3 7} 
Flow 303: {3 1} 
Flow 321: {3 53} 
Flow 324: {30 39} 
Flow 326: {3 62} 
Flow 402: {153 314} 
Flow 408: {2 75} 
Flow 420: {25 146} 
Flow 457: {2 70} 
Flow 468: {68 66} 
Flow 470: {4 68} 
Flow 488: {81 88} 
Flow 491: {4 7} 
Flow 544: {4 53} 
Flow 556: {4 1} 
Flow 560: {5 6} 
Flow 567: {5 7} 
Flow 612: {2 63} 
Flow 686: {26 144} 
Flow 743: {52 213} 
Flow 778: {92 253} 
Flow 812: {129 290} 
Flow 848: {11 172} 
Flow 894: {7 62} 
Flow 904: {72 233} 
Flow 955: {25 128} 
Flow 1052: {53 73} 
Flow 1053: {70 75} 
Flow 1108: {55 133} 
Flow 1136: {5 166} 
Flow 1160: {9 54} 
Flow 1187: {18 79} 
Flow 1214: {128 116} 
Flow 1222: {126 287} 
Flow 1223: {133 134} 
Flow 1231: {26 51} 
Flow 1315: {75 236} 
Flow 1334: {26 53} 
Flow 1357: {120 281} 
Flow 1379: {10 12} 
Flow 1386: {53 153} 
Flow 1393: {8 9} 
Flow 1412: {11 26} 
Flow 1455: {11 10} 
Flow 1494: {11 135} 
Flow 1549: {146 26} 
Flow 1620: {114 121} 
Flow 1623: {99 32} 
Flow 1652: {22 146} 
Flow 1676: {13 24} 
Flow 1729: {10 8} 
Flow 1750: {78 105} 
Flow 1817: {15 14} 
Flow 1868: {16 13} 
Flow 1874: {79 240} 
Flow 1916: {25 110} 
Flow 1934: {25 144} 
Flow 1939: {15 16} 
Flow 1970: {67 28} 
Flow 2006: {69 68} 
Flow 2025: {94 90} 
Flow 2065: {134 295} 
Flow 2087: {70 160} 
Flow 2177: {17 18} 
Flow 2212: {20 23} 
Flow 2390: {63 224} 
Flow 2394: {40 75} 
Flow 2410: {19 89} 
Flow 2410: {89 94} 
Flow 2451: {130 291} 
Flow 2499: {29 190} 
Flow 2528: {20 22} 
Flow 2560: {98 259} 
Flow 2615: {25 75} 
Flow 2623: {13 10} 
Flow 2625: {21 16} 
Flow 2627: {16 12} 
Flow 2634: {16 23} 
Flow 2636: {26 187} 
Flow 2710: {106 267} 
Flow 2725: {25 114} 
Flow 2736: {25 134} 
Flow 2751: {146 25} 
Flow 2770: {13 174} 
Flow 2886: {23 16} 
Flow 2889: {20 181} 
Flow 2903: {53 38} 
Flow 2906: {41 202} 
Flow 2919: {23 24} 
Flow 2977: {117 278} 
Flow 3016: {23 20} 
Flow 3018: {1 162} 
Flow 3036: {12 20} 
Flow 3057: {54 26} 
Flow 3068: {34 62} 
Flow 3087: {24 13} 
Flow 3100: {85 98} 
Flow 3109: {24 23} 
Flow 3283: {136 137} 
Flow 3316: {22 20} 
Flow 3355: {59 58} 
Flow 3451: {66 68} 
Flow 3470: {27 29} 
Flow 3483: {6 41} 
Flow 3488: {40 46} 
Flow 3491: {49 210} 
Flow 3507: {27 28} 
Flow 3539: {102 263} 
Flow 3552: {66 75} 
Flow 3625: {145 117} 
Flow 3629: {28 67} 
Flow 3684: {34 49} 
Flow 3724: {85 92} 
Flow 3738: {29 66} 
Flow 3790: {35 2} 
Flow 3808: {30 37} 
Flow 3814: {44 205} 
Flow 3825: {57 218} 
Flow 3867: {26 118} 
Flow 3881: {40 51} 
Flow 3896: {40 160} 
Flow 3901: {4 165} 
Flow 4023: {31 127} 
Flow 4036: {31 46} 
Flow 4049: {32 2} 
Flow 4076: {32 30} 
Flow 4077: {32 38} 
Flow 4110: {32 34} 
Flow 4232: {45 206} 
Flow 4254: {2 68} 
Flow 4332: {33 30} 
Flow 4337: {33 2} 
Flow 4385: {40 135} 
Flow 4493: {33 194} 
Flow 4519: {35 30} 
Flow 4546: {37 2} 
Flow 4626: {93 254} 
Flow 4640: {102 109} 
Flow 4643: {37 30} 
Flow 4666: {37 46} 
Flow 4683: {34 40} 
Flow 4700: {26 54} 
