Number of groups: 405
Flow 18: {3 19} 
Flow 20: {1 4} 
Flow 103: {2 1} 
Flow 118: {33 120} 
Flow 151: {66 153} 
Flow 177: {1 6} 
Flow 191: {3 20} 
Flow 227: {14 56} 
Flow 233: {3 1} 
Flow 268: {11 98} 
Flow 284: {27 114} 
Flow 291: {34 121} 
Flow 312: {36 53} 
Flow 347: {5 1} 
Flow 353: {5 10} 
Flow 369: {26 113} 
Flow 383: {5 2} 
Flow 383: {20 4} 
Flow 409: {81 66} 
Flow 417: {5 35} 
Flow 423: {35 6} 
Flow 431: {6 1} 
Flow 437: {6 8} 
Flow 445: {47 41} 
Flow 463: {31 34} 
Flow 483: {6 47} 
Flow 497: {68 155} 
Flow 517: {7 1} 
Flow 518: {7 2} 
Flow 544: {7 79} 
Flow 546: {79 6} 
Flow 580: {2 20} 
Flow 603: {8 1} 
Flow 607: {8 7} 
Flow 608: {8 6} 
Flow 619: {3 18} 
Flow 619: {18 105} 
Flow 643: {8 20} 
Flow 646: {9 67} 
Flow 659: {8 19} 
Flow 670: {53 54} 
Flow 678: {19 9} 
Flow 715: {40 28} 
Flow 719: {31 32} 
Flow 720: {31 33} 
Flow 725: {41 38} 
Flow 746: {59 146} 
Flow 761: {83 74} 
Flow 776: {2 89} 
Flow 777: {10 1} 
Flow 777: {1 3} 
Flow 808: {10 35} 
Flow 828: {10 20} 
Flow 828: {55 142} 
Flow 835: {13 16} 
Flow 850: {46 77} 
Flow 851: {46 78} 
Flow 852: {79 166} 
Flow 874: {11 13} 
Flow 877: {11 1} 
Flow 882: {11 2} 
Flow 900: {11 35} 
Flow 905: {1 9} 
Flow 923: {64 151} 
Flow 944: {85 172} 
Flow 1027: {82 169} 
Flow 1037: {2 5} 
Flow 1038: {20 9} 
Flow 1057: {80 26} 
Flow 1093: {16 62} 
Flow 1105: {4 43} 
Flow 1133: {12 16} 
Flow 1171: {56 54} 
Flow 1191: {70 74} 
Flow 1207: {3 90} 
Flow 1239: {36 123} 
Flow 1266: {15 12} 
Flow 1273: {15 13} 
Flow 1293: {20 3} 
Flow 1311: {22 109} 
Flow 1312: {28 23} 
Flow 1321: {33 32} 
Flow 1321: {32 119} 
Flow 1336: {40 4} 
Flow 1349: {60 147} 
Flow 1379: {17 12} 
Flow 1435: {16 60} 
Flow 1435: {17 63} 
Flow 1447: {12 13} 
Flow 1464: {1 2} 
Flow 1467: {1 5} 
Flow 1469: {1 7} 
Flow 1470: {1 8} 
Flow 1470: {18 3} 
Flow 1472: {1 10} 
Flow 1476: {14 101} 
Flow 1509: {18 9} 
Flow 1511: {19 4} 
Flow 1528: {67 154} 
Flow 1555: {7 94} 
Flow 1559: {9 1} 
Flow 1737: {13 12} 
Flow 1747: {21 24} 
Flow 1747: {24 28} 
Flow 1761: {43 42} 
Flow 1774: {21 22} 
Flow 1780: {61 148} 
Flow 1811: {6 35} 
Flow 1830: {22 25} 
Flow 1831: {22 26} 
Flow 1842: {22 28} 
Flow 1847: {41 42} 
Flow 1848: {22 29} 
Flow 1849: {44 131} 
Flow 1857: {59 52} 
Flow 1862: {29 80} 
Flow 1877: {72 159} 
Flow 1884: {6 79} 
Flow 1915: {24 111} 
Flow 1921: {22 30} 
Flow 1929: {28 38} 
Flow 1933: {23 24} 
Flow 1949: {58 145} 
Flow 1991: {24 40} 
Flow 2062: {24 23} 
Flow 2086: {25 22} 
Flow 2100: {43 37} 
Flow 2114: {51 138} 
Flow 2130: {25 53} 
Flow 2143: {25 54} 
Flow 2147: {41 44} 
Flow 2149: {86 173} 
Flow 2175: {54 25} 
Flow 2176: {26 83} 
Flow 2205: {26 73} 
Flow 2212: {29 41} 
Flow 2221: {26 80} 
Flow 2233: {80 29} 
Flow 2235: {26 22} 
Flow 2258: {27 22} 
Flow 2262: {27 30} 
Flow 2262: {30 83} 
Flow 2268: {27 55} 
Flow 2284: {40 13} 
Flow 2300: {65 152} 
Flow 2349: {28 22} 
Flow 2350: {43 41} 
Flow 2353: {4 33} 
Flow 2368: {47 134} 
Flow 2381: {28 40} 
Flow 2404: {36 43} 
Flow 2429: {22 21} 
Flow 2442: {47 6} 
Flow 2499: {35 5} 
Flow 2509: {15 102} 
Flow 2516: {30 22} 
Flow 2521: {30 27} 
Flow 2532: {30 80} 
Flow 2546: {30 55} 
Flow 2553: {30 73} 
Flow 2571: {44 78} 
Flow 2578: {21 23} 
Flow 2616: {31 9} 
Flow 2618: {4 40} 
Flow 2622: {33 4} 
Flow 2636: {57 144} 
Flow 2642: {16 63} 
