Number of groups: 405
Flow 18: {3 19 0} 
Flow 20: {1 4 0} 
Flow 103: {2 1 0} 
Flow 118: {33 120 0} 
Flow 151: {66 153 0} 
Flow 177: {1 6 0} 
Flow 191: {3 20 0} 
Flow 227: {14 56 0} 
Flow 233: {3 1 0} 
Flow 268: {11 98 0} 
Flow 284: {27 114 0} 
Flow 291: {34 121 0} 
Flow 312: {36 53 0} 
Flow 347: {5 1 0} 
Flow 353: {5 10 0} 
Flow 369: {26 113 0} 
Flow 383: {5 2 0} 
Flow 383: {20 4 0} 
Flow 409: {81 66 0} 
Flow 417: {5 35 0} 
Flow 423: {35 6 0} 
Flow 431: {6 1 0} 
Flow 437: {6 8 0} 
Flow 445: {47 41 0} 
Flow 463: {31 34 0} 
Flow 483: {6 47 0} 
Flow 497: {68 155 0} 
Flow 517: {7 1 0} 
Flow 518: {7 2 0} 
Flow 544: {7 79 0} 
Flow 546: {79 6 0} 
Flow 580: {2 20 0} 
Flow 603: {8 1 0} 
Flow 607: {8 7 0} 
Flow 608: {8 6 0} 
Flow 619: {3 18 0} 
Flow 619: {18 105 0} 
Flow 643: {8 20 0} 
Flow 646: {9 67 0} 
Flow 659: {8 19 0} 
Flow 670: {53 54 0} 
Flow 678: {19 9 0} 
Flow 715: {40 28 0} 
Flow 719: {31 32 0} 
Flow 720: {31 33 0} 
Flow 725: {41 38 0} 
Flow 746: {59 146 0} 
Flow 761: {83 74 0} 
Flow 776: {2 89 0} 
Flow 777: {10 1 0} 
Flow 777: {1 3 0} 
Flow 808: {10 35 0} 
Flow 828: {10 20 0} 
Flow 828: {55 142 0} 
Flow 835: {13 16 0} 
Flow 850: {46 77 0} 
Flow 851: {46 78 0} 
Flow 852: {79 166 0} 
Flow 874: {11 13 0} 
Flow 877: {11 1 0} 
Flow 882: {11 2 0} 
Flow 900: {11 35 0} 
Flow 905: {1 9 0} 
Flow 923: {64 151 0} 
Flow 944: {85 172 0} 
Flow 1027: {82 169 0} 
Flow 1037: {2 5 0} 
Flow 1038: {20 9 0} 
Flow 1057: {80 26 0} 
Flow 1093: {16 62 0} 
Flow 1105: {4 43 0} 
Flow 1133: {12 16 0} 
Flow 1171: {56 54 0} 
Flow 1191: {70 74 0} 
Flow 1207: {3 90 0} 
Flow 1239: {36 123 0} 
Flow 1266: {15 12 0} 
Flow 1273: {15 13 0} 
