Number of groups: 525
Flow 83: {1 86} 
Flow 166: {47 205} 
Flow 388: {27 185} 
Flow 400: {44 41} 
Flow 405: {49 48} 
Flow 432: {77 235} 
Flow 482: {3 133} 
Flow 502: {7 158} 
Flow 652: {4 6} 
Flow 740: {127 285} 
Flow 776: {5 49} 
Flow 969: {9 8} 
Flow 1011: {9 10} 
Flow 1021: {109 102} 
Flow 1063: {78 153} 
Flow 1104: {43 201} 
Flow 1136: {79 237} 
Flow 1325: {54 53} 
Flow 1327: {12 11} 
Flow 1404: {114 113} 
Flow 1509: {69 227} 
Flow 1573: {136 294} 
Flow 1591: {155 313} 
Flow 1661: {74 232} 
Flow 1744: {3 161} 
Flow 1756: {15 18} 
Flow 1791: {152 151} 
Flow 1810: {82 240} 
Flow 1819: {91 249} 
Flow 1831: {15 16} 
Flow 1865: {87 134} 
Flow 1914: {36 194} 
Flow 1923: {135 138} 
Flow 1965: {101 119} 
Flow 1999: {129 287} 
Flow 2028: {12 19} 
Flow 2167: {68 107} 
Flow 2183: {18 17} 
Flow 2198: {29 187} 
Flow 2218: {54 55} 
Flow 2228: {17 12} 
Flow 2262: {18 15} 
Flow 2263: {16 19} 
Flow 2333: {31 85} 
Flow 2385: {14 13} 
Flow 2419: {102 101} 
Flow 2444: {122 145} 
Flow 2508: {20 108} 
Flow 2513: {66 224} 
Flow 2541: {108 107} 
Flow 2559: {111 114} 
Flow 2583: {134 139} 
Flow 2638: {110 83} 
Flow 2651: {108 266} 
Flow 2670: {141 299} 
Flow 2721: {107 68} 
Flow 2826: {10 87} 
Flow 2872: {52 210} 
Flow 2903: {53 54} 
Flow 2914: {34 33} 
Flow 2984: {38 37} 
Flow 2999: {24 30} 
Flow 3011: {42 45} 
Flow 3047: {24 23} 
Flow 3254: {43 44} 
Flow 3280: {118 117} 
Flow 3320: {26 98} 
Flow 3339: {156 314} 
Flow 3340: {22 21} 
Flow 3364: {25 120} 
Flow 3408: {85 243} 
Flow 3412: {89 247} 
Flow 3468: {151 62} 
Flow 3485: {84 54} 
Flow 3506: {28 25} 
Flow 3529: {84 242} 
Flow 3560: {58 124} 
Flow 3575: {143 301} 
Flow 3693: {33 36} 
Flow 3726: {59 60} 
Flow 3746: {8 9} 
Flow 3756: {19 177} 
Flow 3761: {30 24} 
Flow 3803: {84 38} 
Flow 3808: {30 23} 
Flow 3823: {23 29} 
Flow 3857: {29 53} 
Flow 3900: {12 170} 
Flow 3923: {37 195} 
Flow 3930: {44 202} 
Flow 3956: {72 230} 
Flow 4013: {131 289} 
Flow 4029: {146 147} 
Flow 4035: {155 154} 
Flow 4053: {14 11} 
Flow 4065: {32 35} 
Flow 4094: {62 220} 
Flow 4130: {32 85} 
Flow 4217: {38 84} 
