Number of groups: 664
Flow 12: {52 189} 
Flow 41: {10 9} 
Flow 59: {33 13} 
Flow 78: {1 10} 
Flow 83: {153 147} 
Flow 94: {184 167} 
Flow 112: {177 1} 
Flow 145: {38 39} 
Flow 295: {3 78} 
Flow 365: {76 184} 
Flow 400: {175 140} 
Flow 521: {20 90} 
Flow 577: {163 162} 
Flow 645: {48 245} 
Flow 650: {172 26} 
Flow 682: {97 294} 
Flow 737: {78 163} 
Flow 760: {132 143} 
Flow 774: {14 211} 
Flow 809: {72 269} 
Flow 814: {78 275} 
Flow 870: {159 158} 
Flow 1093: {6 203} 
Flow 1132: {49 246} 
Flow 1148: {68 265} 
Flow 1149: {4 78} 
Flow 1151: {7 5} 
Flow 1158: {79 276} 
Flow 1163: {84 281} 
Flow 1167: {89 88} 
Flow 1183: {161 38} 
Flow 1191: {112 309} 
Flow 1192: {113 310} 
Flow 1220: {195 99} 
Flow 1408: {169 366} 
Flow 1414: {1 177} 
Flow 1426: {8 175} 
Flow 1445: {12 17} 
Flow 1464: {33 38} 
Flow 1474: {11 14} 
Flow 1525: {153 78} 
Flow 1600: {12 11} 
Flow 1736: {197 182} 
Flow 1746: {9 2} 
Flow 1763: {22 219} 
Flow 1767: {154 155} 
Flow 1819: {13 31} 
Flow 1822: {173 91} 
Flow 1876: {19 20} 
Flow 1882: {197 159} 
Flow 2022: {64 150} 
Flow 2078: {13 33} 
Flow 2083: {65 68} 
Flow 2096: {83 280} 
Flow 2121: {68 70} 
Flow 2166: {17 12} 
Flow 2317: {192 191} 
Flow 2319: {38 161} 
Flow 2346: {17 14} 
Flow 2370: {18 17} 
Flow 2400: {139 336} 
Flow 2439: {21 22} 
Flow 2447: {24 23} 
Flow 2458: {184 159} 
Flow 2464: {44 241} 
Flow 2472: {51 58} 
Flow 2484: {80 72} 
Flow 2484: {72 73} 
Flow 2500: {22 27} 
Flow 2509: {103 300} 
Flow 2510: {80 71} 
Flow 2513: {106 107} 
Flow 2605: {30 79} 
Flow 2632: {56 253} 
Flow 2678: {79 95} 
Flow 2742: {10 1} 
Flow 2743: {23 189} 
Flow 2791: {29 27} 
Flow 2791: {102 299} 
Flow 2800: {119 316} 
Flow 2868: {34 231} 
Flow 2870: {24 21} 
Flow 2887: {27 30} 
Flow 2943: {97 98} 
