Number of groups: 516
Flow 8: {1 15 0} 
Flow 57: {141 139 0} 
Flow 72: {2 18 0} 
Flow 104: {27 22 0} 
Flow 146: {3 4 0} 
Flow 189: {125 142 0} 
Flow 317: {7 8 0} 
Flow 357: {97 94 0} 
Flow 385: {5 17 0} 
Flow 413: {6 5 0} 
Flow 417: {23 172 0} 
Flow 434: {8 9 0} 
Flow 475: {17 96 0} 
Flow 493: {34 130 0} 
Flow 510: {6 155 0} 
Flow 519: {9 10 0} 
Flow 571: {71 121 0} 
Flow 572: {133 126 0} 
Flow 574: {141 52 0} 
Flow 578: {10 15 0} 
Flow 606: {99 42 0} 
Flow 616: {11 17 0} 
Flow 768: {13 118 0} 
Flow 797: {118 52 0} 
Flow 828: {78 39 0} 
Flow 841: {88 146 0} 
Flow 887: {147 146 0} 
Flow 898: {146 88 0} 
Flow 900: {137 136 0} 
Flow 901: {14 148 0} 
Flow 939: {15 95 0} 
Flow 958: {93 92 0} 
Flow 1007: {16 126 0} 
Flow 1055: {57 206 0} 
Flow 1072: {95 18 0} 
Flow 1081: {90 239 0} 
Flow 1104: {42 106 0} 
Flow 1116: {132 281 0} 
Flow 1119: {142 135 0} 
Flow 1137: {8 7 0} 
Flow 1169: {44 193 0} 
Flow 1170: {129 46 0} 
Flow 1196: {132 125 0} 
Flow 1227: {121 115 0} 
Flow 1265: {11 160 0} 
Flow 1294: {49 198 0} 
Flow 1303: {104 100 0} 
Flow 1314: {21 81 0} 
Flow 1352: {19 104 0} 
Flow 1367: {126 132 0} 
Flow 1374: {20 143 0} 
Flow 1397: {143 30 0} 
Flow 1415: {42 102 0} 
Flow 1468: {53 144 0} 
Flow 1551: {82 80 0} 
Flow 1589: {25 82 0} 
Flow 1598: {27 28 0} 
Flow 1599: {97 246 0} 
Flow 1717: {23 143 0} 
Flow 1781: {28 145 0} 
Flow 1792: {24 22 0} 
Flow 1792: {22 27 0} 
Flow 1811: {137 286 0} 
Flow 1821: {24 23 0} 
Flow 1835: {17 166 0} 
Flow 1858: {48 197 0} 
Flow 1878: {74 223 0} 
Flow 1917: {121 120 0} 
Flow 1944: {7 156 0} 
Flow 1964: {84 233 0} 
Flow 1988: {25 28 0} 
Flow 1992: {145 21 0} 
Flow 1994: {15 10 0} 
Flow 2003: {30 179 0} 
Flow 2119: {28 25 0} 
Flow 2150: {131 280 0} 
Flow 2182: {22 171 0} 
Flow 2186: {57 58 0} 
Flow 2255: {30 52 0} 
Flow 2278: {29 143 0} 
Flow 2319: {145 149 0} 
Flow 2406: {31 127 0} 
Flow 2431: {142 21 0} 
Flow 2463: {65 41 0} 
Flow 2514: {67 216 0} 
Flow 2527: {32 63 0} 
Flow 2538: {32 73 0} 
Flow 2586: {95 15 0} 
Flow 2591: {132 16 0} 
Flow 2640: {35 74 0} 
Flow 2683: {52 88 0} 
Flow 2683: {147 296 0} 
Flow 2687: {73 124 0} 
Flow 2721: {33 130 0} 
Flow 2725: {51 58 0} 
Flow 2759: {95 100 0} 
Flow 2762: {36 74 0} 
Flow 2771: {36 33 0} 
Flow 2772: {120 269 0} 
Flow 2775: {35 73 0} 
Flow 2792: {145 294 0} 
Flow 2871: {103 252 0} 
Flow 2882: {40 71 0} 
Flow 2888: {76 38 0} 
Flow 2918: {16 165 0} 
Flow 2949: {38 76 0} 
Flow 2954: {131 84 0} 
Flow 2962: {18 95 0} 
Flow 2998: {10 159 0} 
Flow 3044: {126 133 0} 
