Number of groups: 516
Flow 8: {1 15} 
Flow 57: {141 139} 
Flow 72: {2 18} 
Flow 104: {27 22} 
Flow 146: {3 4} 
Flow 189: {125 142} 
Flow 317: {7 8} 
Flow 357: {97 94} 
Flow 385: {5 17} 
Flow 413: {6 5} 
Flow 417: {23 172} 
Flow 434: {8 9} 
Flow 475: {17 96} 
Flow 493: {34 130} 
Flow 510: {6 155} 
Flow 519: {9 10} 
Flow 571: {71 121} 
Flow 572: {133 126} 
Flow 574: {141 52} 
Flow 578: {10 15} 
Flow 606: {99 42} 
Flow 616: {11 17} 
Flow 768: {13 118} 
Flow 797: {118 52} 
Flow 828: {78 39} 
Flow 841: {88 146} 
Flow 887: {147 146} 
Flow 898: {146 88} 
Flow 900: {137 136} 
Flow 901: {14 148} 
Flow 939: {15 95} 
Flow 958: {93 92} 
Flow 1007: {16 126} 
Flow 1055: {57 206} 
Flow 1072: {95 18} 
Flow 1081: {90 239} 
Flow 1104: {42 106} 
Flow 1116: {132 281} 
Flow 1119: {142 135} 
Flow 1137: {8 7} 
Flow 1169: {44 193} 
Flow 1170: {129 46} 
Flow 1196: {132 125} 
Flow 1227: {121 115} 
Flow 1265: {11 160} 
Flow 1294: {49 198} 
Flow 1303: {104 100} 
Flow 1314: {21 81} 
Flow 1352: {19 104} 
Flow 1367: {126 132} 
Flow 1374: {20 143} 
Flow 1397: {143 30} 
Flow 1415: {42 102} 
Flow 1468: {53 144} 
Flow 1551: {82 80} 
Flow 1589: {25 82} 
Flow 1598: {27 28} 
Flow 1599: {97 246} 
Flow 1717: {23 143} 
Flow 1781: {28 145} 
Flow 1792: {24 22} 
Flow 1792: {22 27} 
Flow 1811: {137 286} 
Flow 1821: {24 23} 
Flow 1835: {17 166} 
Flow 1858: {48 197} 
Flow 1878: {74 223} 
Flow 1917: {121 120} 
Flow 1944: {7 156} 
Flow 1964: {84 233} 
Flow 1988: {25 28} 
Flow 1992: {145 21} 
Flow 1994: {15 10} 
Flow 2003: {30 179} 
Flow 2119: {28 25} 
Flow 2150: {131 280} 
Flow 2182: {22 171} 
Flow 2186: {57 58} 
Flow 2255: {30 52} 
Flow 2278: {29 143} 
Flow 2319: {145 149} 
Flow 2406: {31 127} 
Flow 2431: {142 21} 
Flow 2463: {65 41} 
Flow 2514: {67 216} 
Flow 2527: {32 63} 
Flow 2538: {32 73} 
Flow 2586: {95 15} 
Flow 2591: {132 16} 
Flow 2640: {35 74} 
Flow 2683: {52 88} 
Flow 2683: {147 296} 
Flow 2687: {73 124} 
Flow 2721: {33 130} 
Flow 2725: {51 58} 
Flow 2759: {95 100} 
Flow 2762: {36 74} 
Flow 2771: {36 33} 
Flow 2772: {120 269} 
Flow 2775: {35 73} 
Flow 2792: {145 294} 
Flow 2871: {103 252} 
Flow 2882: {40 71} 
Flow 2888: {76 38} 
Flow 2918: {16 165} 
Flow 2949: {38 76} 
Flow 2954: {131 84} 
Flow 2962: {18 95} 
Flow 2998: {10 159} 
Flow 3044: {126 133} 
Flow 3061: {38 123} 
Flow 3075: {148 297} 
Flow 3086: {118 13} 
Flow 3102: {63 62} 
Flow 3156: {67 103} 
Flow 3178: {128 50} 
Flow 3189: {142 291} 
Flow 3207: {46 129} 
Flow 3234: {134 149} 
Flow 3281: {42 19} 
Flow 3292: {113 262} 
Flow 3368: {140 30} 
Flow 3388: {82 231} 
Flow 3454: {44 43} 
Flow 3455: {17 11} 
Flow 3483: {44 138} 
Flow 3493: {134 142} 
Flow 3493: {142 125} 
Flow 3536: {124 273} 
Flow 3537: {149 134} 
Flow 3540: {87 130} 
Flow 3561: {99 12} 
Flow 3562: {6 7} 
Flow 3629: {72 89} 
Flow 3660: {127 276} 
Flow 3704: {41 190} 
Flow 3710: {129 3} 
Flow 3737: {42 107} 
Flow 3768: {47 11} 
Flow 3778: {17 5} 
Flow 3780: {8 157} 
Flow 3785: {100 95} 
Flow 3826: {109 258} 
Flow 3831: {48 42} 
Flow 3886: {49 45} 
Flow 3904: {12 101} 
Flow 3930: {49 46} 
Flow 3933: {4 126} 
Flow 4038: {54 53} 
Flow 4067: {56 55} 
Flow 4072: {36 185} 
Flow 4084: {50 199} 
Flow 4124: {53 54} 
Flow 4139: {59 143} 
Flow 4147: {54 59} 
Flow 4177: {94 101} 
Flow 4186: {24 173} 
Flow 4195: {81 80} 
Flow 4244: {105 254} 
Flow 4250: {112 261} 
Flow 4346: {55 29} 
Flow 4382: {56 53} 
Flow 4427: {57 60} 
Flow 4449: {94 243} 
Flow 4451: {97 96} 
Flow 4470: {125 124} 
Flow 4472: {58 51} 
Flow 4473: {128 277} 
Flow 4481: {60 20} 
Flow 4575: {9 8} 
Flow 4619: {64 213} 
Flow 4637: {86 235} 
Flow 4660: {59 118} 
Flow 4663: {116 265} 
Flow 4718: {130 33} 
Flow 4749: {26 90} 
Flow 4749: {89 72} 
Flow 4756: {51 26} 
Flow 4769: {21 142} 
Flow 4787: {125 132} 
Flow 4832: {145 140} 
Flow 4882: {131 121} 
Flow 4891: {61 131} 
Flow 4947: {90 26} 
Flow 4951: {56 205} 
Flow 4970: {81 230} 
Flow 5088: {71 40} 
Flow 5089: {77 226} 
Flow 5142: {63 132} 
Flow 5148: {146 295} 
Flow 5156: {41 65} 
Flow 5193: {64 41} 
Flow 5193: {65 127} 
Flow 5234: {41 67} 
Flow 5270: {42 99} 
Flow 5289: {66 41} 
Flow 5297: {127 128} 
Flow 5325: {103 102} 
Flow 5327: {12 96} 
Flow 5341: {117 116} 
Flow 5358: {66 65} 
Flow 5375: {50 129} 
Flow 5385: {45 49} 
Flow 5398: {114 121} 
Flow 5445: {108 111} 
Flow 5451: {68 108} 
Flow 5482: {131 70} 
Flow 5494: {131 62} 
Flow 5513: {108 257} 
Flow 5563: {69 131} 
Flow 5577: {33 36} 
Flow 5603: {70 219} 
Flow 5613: {69 84} 
Flow 5629: {116 117} 
Flow 5639: {114 263} 
Flow 5653: {131 132} 
Flow 5713: {70 131} 
Flow 5807: {83 232} 
Flow 5816: {93 242} 
Flow 5868: {9 158} 
Flow 5890: {52 201} 
Flow 5893: {58 57} 
Flow 5904: {80 82} 
Flow 5937: {143 292} 
Flow 5945: {124 132} 
Flow 6025: {25 174} 
Flow 6026: {89 90} 
Flow 6051: {73 32} 
Flow 6070: {74 36} 
Flow 6083: {42 105} 
Flow 6086: {74 35} 
Flow 6108: {124 125} 
Flow 6111: {140 289} 
Flow 6123: {75 113} 
Flow 6139: {23 24} 
Flow 6155: {139 138} 
Flow 6192: {100 249} 
Flow 6231: {75 146} 
Flow 6292: {37 40} 
Flow 6298: {76 37} 
Flow 6309: {104 107} 
Flow 6311: {110 259} 
Flow 6344: {3 152} 
Flow 6413: {108 109} 
Flow 6496: {79 130} 
Flow 6523: {122 111} 
Flow 6562: {101 12} 
Flow 6563: {13 162} 
Flow 6572: {22 24} 
Flow 6577: {29 178} 
Flow 6580: {34 183} 
Flow 6663: {21 134} 
Flow 6683: {81 21} 
Flow 6820: {54 203} 
Flow 6877: {77 123} 
Flow 6890: {136 137} 
Flow 6931: {83 86} 
Flow 6932: {37 186} 
Flow 7000: {122 271} 
Flow 7008: {82 21} 
Flow 7030: {21 82} 
Flow 7037: {68 103} 
Flow 7047: {84 131} 
Flow 7047: {86 83} 
Flow 7051: {106 255} 
Flow 7057: {117 266} 
Flow 7116: {84 69} 
Flow 7125: {62 34} 
Flow 7126: {85 84} 
Flow 7139: {85 131} 
Flow 7175: {7 6} 
Flow 7192: {25 26} 
Flow 7194: {83 82} 
Flow 7224: {86 79} 
Flow 7244: {99 248} 
Flow 7269: {130 279} 
Flow 7303: {21 170} 
Flow 7305: {80 81} 
Flow 7306: {28 27} 
Flow 7338: {34 62} 
Flow 7341: {69 218} 
Flow 7351: {82 83} 
Flow 7369: {62 131} 
Flow 7431: {145 28} 
Flow 7435: {32 181} 
Flow 7448: {45 194} 
Flow 7449: {52 141} 
Flow 7450: {45 42} 
Flow 7460: {88 118} 
Flow 7469: {72 221} 
Flow 7501: {71 78} 
Flow 7514: {125 274} 
Flow 7538: {130 34} 
Flow 7549: {72 130} 
Flow 7615: {59 208} 
Flow 7634: {26 25} 
Flow 7643: {91 112} 
Flow 7646: {90 89} 
Flow 7646: {131 115} 
Flow 7670: {133 18} 
Flow 7674: {18 167} 
Flow 7684: {38 187} 
Flow 7735: {113 146} 
Flow 7742: {93 95} 
Flow 7796: {110 111} 
Flow 7805: {92 93} 
Flow 7861: {28 177} 
Flow 7915: {30 143} 
Flow 7970: {95 93} 
Flow 8042: {26 51} 
Flow 8085: {92 110} 
Flow 8119: {1 150} 
Flow 8148: {40 37} 
Flow 8169: {96 12} 
Flow 8173: {131 69} 
Flow 8184: {96 97} 
Flow 8221: {12 99} 
Flow 8230: {138 287} 
Flow 8256: {143 23} 
Flow 8270: {102 103} 
Flow 8316: {101 98} 
Flow 8322: {115 264} 
Flow 8386: {43 44} 
Flow 8389: {98 104} 
Flow 8404: {68 217} 
Flow 8406: {98 101} 
Flow 8444: {101 94} 
Flow 8449: {123 272} 
Flow 8509: {42 48} 
Flow 8520: {63 212} 
Flow 8528: {75 224} 
Flow 8566: {106 109} 
Flow 8582: {94 95} 
Flow 8600: {126 16} 
Flow 8650: {132 63} 
Flow 8776: {104 253} 
Flow 8792: {39 77} 
Flow 8837: {102 42} 
Flow 8864: {41 66} 
Flow 8883: {141 91} 
Flow 8884: {92 241} 
Flow 8937: {5 6} 
Flow 8954: {103 68} 
Flow 8969: {43 192} 
Flow 8984: {67 41} 
Flow 9003: {79 86} 
Flow 9008: {110 92} 
Flow 9047: {139 288} 
Flow 9052: {111 122} 
Flow 9069: {15 164} 
Flow 9079: {26 175} 
Flow 9084: {63 32} 
Flow 9100: {104 19} 
Flow 9144: {104 98} 
Flow 9169: {45 46} 
Flow 9174: {134 283} 
Flow 9190: {105 42} 
Flow 9192: {107 42} 
Flow 9194: {107 104} 
Flow 9227: {42 191} 
Flow 9246: {132 124} 
Flow 9258: {117 114} 
Flow 9282: {122 117} 
Flow 9297: {88 113} 
Flow 9319: {52 118} 
Flow 9331: {109 108} 
Flow 9344: {106 42} 
Flow 9402: {42 45} 
Flow 9490: {88 237} 
Flow 9491: {89 238} 
Flow 9531: {18 133} 
Flow 9546: {109 106} 
Flow 9556: {96 17} 
Flow 9602: {124 73} 
Flow 9605: {117 78} 
Flow 9664: {59 54} 
Flow 9672: {4 153} 
Flow 9689: {27 176} 
Flow 9706: {112 113} 
Flow 9713: {66 215} 
Flow 9714: {91 141} 
Flow 9729: {112 91} 
Flow 9735: {96 245} 
Flow 9769: {144 293} 
Flow 9800: {80 87} 
Flow 9819: {55 204} 
Flow 9822: {60 57} 
Flow 9854: {113 88} 
Flow 9882: {133 282} 
Flow 9885: {136 285} 
Flow 9933: {121 131} 
Flow 9937: {58 207} 
Flow 9960: {114 117} 
Flow 10014: {20 169} 
Flow 10022: {115 131} 
Flow 10042: {62 63} 
Flow 10052: {78 227} 
Flow 10082: {118 267} 
Flow 10086: {115 121} 
Flow 10118: {116 115} 
Flow 10135: {55 56} 
Flow 10157: {95 244} 
Flow 10164: {111 108} 
Flow 10182: {135 284} 
Flow 10227: {149 43} 
Flow 10248: {78 71} 
Flow 10367: {101 250} 
Flow 10375: {118 88} 
Flow 10434: {51 200} 
Flow 10460: {71 126} 
Flow 10488: {119 120} 
Flow 10568: {120 119} 
Flow 10573: {119 71} 
Flow 10580: {121 114} 
Flow 10598: {120 121} 
Flow 10611: {121 71} 
Flow 10613: {12 161} 
Flow 10632: {39 188} 
Flow 10638: {46 49} 
Flow 10662: {85 234} 
Flow 10665: {130 72} 
Flow 10676: {100 104} 
Flow 10681: {111 110} 
Flow 10765: {108 68} 
Flow 10770: {145 141} 
Flow 10821: {113 136} 
Flow 10863: {123 38} 
Flow 10866: {78 117} 
Flow 10869: {46 195} 
Flow 10881: {77 39} 
Flow 10882: {103 67} 
Flow 10883: {127 65} 
Flow 10883: {65 214} 
Flow 10886: {117 122} 
Flow 10895: {39 78} 
Flow 10895: {80 229} 
Flow 10930: {123 77} 
Flow 10935: {50 128} 
Flow 11008: {65 66} 
Flow 11029: {91 240} 
Flow 11071: {141 290} 
Flow 11132: {142 134} 
Flow 11136: {11 47} 
Flow 11160: {76 225} 
Flow 11201: {121 270} 
Flow 11226: {146 147} 
Flow 11271: {82 25} 
Flow 11383: {73 35} 
Flow 11492: {94 97} 
Flow 11543: {130 79} 
Flow 11589: {130 87} 
Flow 11589: {87 80} 
Flow 11594: {143 59} 
Flow 11634: {40 189} 
Flow 11641: {47 196} 
Flow 11654: {41 64} 
Flow 11705: {71 119} 
Flow 11715: {129 278} 
Flow 11737: {126 275} 
Flow 11819: {19 42} 
Flow 11878: {134 21} 
Flow 11883: {35 184} 
Flow 11888: {132 126} 
Flow 11938: {126 4} 
Flow 11964: {21 135} 
Flow 11996: {33 182} 
Flow 11996: {135 21} 
Flow 12015: {135 142} 
Flow 12020: {37 76} 
Flow 12053: {4 3} 
Flow 12121: {136 113} 
Flow 12122: {73 222} 
Flow 12160: {88 52} 
Flow 12185: {136 147} 
Flow 12186: {137 148} 
Flow 12206: {138 139} 
Flow 12219: {138 44} 
Flow 12222: {3 129} 
Flow 12226: {29 55} 
Flow 12227: {52 30} 
Flow 12228: {139 141} 
Flow 12259: {43 149} 
Flow 12307: {15 1} 
Flow 12334: {141 145} 
Flow 12347: {118 59} 
Flow 12350: {20 60} 
Flow 12422: {149 298} 
Flow 12435: {143 20} 
Flow 12456: {21 145} 
Flow 12552: {140 145} 
Flow 12584: {113 75} 
Flow 12621: {126 71} 
Flow 12650: {144 53} 
Flow 12707: {128 127} 
Flow 12707: {129 50} 
Flow 12719: {79 228} 
Flow 12748: {111 260} 
Flow 12756: {119 268} 
Flow 12799: {95 94} 
Flow 12840: {146 75} 
Flow 12867: {107 256} 
Flow 12872: {146 113} 
Flow 12900: {147 148} 
Flow 12906: {10 9} 
Flow 12944: {53 56} 
Flow 13007: {147 136} 
Flow 13009: {30 140} 
Flow 13029: {148 147} 
Flow 13055: {143 29} 
Flow 13063: {46 45} 
Flow 13080: {113 112} 
Flow 13080: {148 137} 
Flow 13189: {131 85} 
Flow 13216: {115 116} 
Flow 13216: {132 131} 
Flow 13218: {149 145} 
Time taken running everything: 774 seconds
