Number of groups: 393
Flow 6: {1 7} 
Flow 17: {3 19} 
Flow 42: {1 9} 
Flow 79: {2 1} 
Flow 83: {6 93} 
Flow 84: {7 94} 
Flow 90: {2 11} 
Flow 124: {11 13} 
Flow 143: {57 69} 
Flow 151: {58 46} 
Flow 156: {7 79} 
Flow 162: {1 2} 
Flow 165: {1 6} 
Flow 176: {3 18} 
Flow 178: {3 20} 
Flow 192: {1 10} 
Flow 220: {3 1} 
Flow 223: {83 74} 
Flow 232: {1 4} 
Flow 247: {12 17} 
Flow 302: {5 1} 
Flow 307: {5 10} 
Flow 343: {5 35} 
Flow 360: {65 152} 
Flow 373: {79 166} 
Flow 380: {5 2} 
Flow 381: {35 6} 
Flow 382: {6 1} 
Flow 406: {6 47} 
Flow 428: {16 62} 
Flow 449: {7 1} 
Flow 456: {7 2} 
Flow 459: {15 102} 
Flow 463: {7 8} 
Flow 467: {2 20} 
Flow 512: {75 162} 
Flow 529: {8 6} 
Flow 540: {8 1} 
Flow 554: {8 20} 
Flow 557: {7 35} 
Flow 598: {8 7} 
Flow 599: {8 19} 
Flow 599: {80 167} 
Flow 630: {80 26} 
Flow 658: {57 144} 
Flow 688: {10 1} 
Flow 714: {10 20} 
Flow 718: {38 125} 
Flow 731: {53 54} 
Flow 757: {3 90} 
Flow 773: {20 4} 
Flow 782: {11 2} 
Flow 812: {73 160} 
Flow 876: {62 149} 
Flow 879: {67 154} 
Flow 895: {47 87} 
Flow 915: {23 110} 
Flow 937: {50 137} 
Flow 938: {20 9} 
Flow 949: {68 155} 
Flow 950: {14 56} 
Flow 954: {56 54} 
Flow 955: {14 12} 
Flow 997: {35 122} 
Flow 999: {28 37} 
Flow 1006: {15 13} 
Flow 1008: {47 134} 
Flow 1016: {15 12} 
Flow 1023: {12 16} 
Flow 1032: {13 40} 
Flow 1061: {17 63} 
Flow 1088: {43 41} 
Flow 1101: {16 60} 
Flow 1123: {17 12} 
Flow 1129: {18 3} 
Flow 1131: {1 5} 
Flow 1152: {18 9} 
Flow 1170: {19 8} 
Flow 1226: {19 9} 
Flow 1250: {11 98} 
Flow 1293: {59 146} 
Flow 1298: {66 65} 
Flow 1308: {46 77} 
Flow 1322: {4 91} 
Flow 1360: {21 24} 
Flow 1367: {46 72} 
Flow 1376: {21 22} 
Flow 1376: {80 83} 
Flow 1402: {22 25} 
Flow 1407: {32 119} 
Flow 1412: {22 28} 
Flow 1417: {22 29} 
Flow 1426: {56 143} 
Flow 1442: {44 78} 
Flow 1451: {23 24} 
Flow 1451: {24 40} 
Flow 1474: {23 21} 
Flow 1477: {22 30} 
