Number of groups: 393
Flow 6: {1 7 0} 
Flow 17: {3 19 0} 
Flow 42: {1 9 0} 
Flow 79: {2 1 0} 
Flow 83: {6 93 0} 
Flow 84: {7 94 0} 
Flow 90: {2 11 0} 
Flow 124: {11 13 0} 
Flow 143: {57 69 0} 
Flow 151: {58 46 0} 
Flow 156: {7 79 0} 
Flow 162: {1 2 0} 
Flow 165: {1 6 0} 
Flow 176: {3 18 0} 
Flow 178: {3 20 0} 
Flow 192: {1 10 0} 
Flow 220: {3 1 0} 
Flow 223: {83 74 0} 
Flow 232: {1 4 0} 
Flow 247: {12 17 0} 
Flow 302: {5 1 0} 
Flow 307: {5 10 0} 
Flow 343: {5 35 0} 
Flow 360: {65 152 0} 
Flow 373: {79 166 0} 
Flow 380: {5 2 0} 
Flow 381: {35 6 0} 
Flow 382: {6 1 0} 
Flow 406: {6 47 0} 
Flow 428: {16 62 0} 
Flow 449: {7 1 0} 
Flow 456: {7 2 0} 
Flow 459: {15 102 0} 
Flow 463: {7 8 0} 
Flow 467: {2 20 0} 
Flow 512: {75 162 0} 
Flow 529: {8 6 0} 
Flow 540: {8 1 0} 
Flow 554: {8 20 0} 
Flow 557: {7 35 0} 
Flow 598: {8 7 0} 
Flow 599: {8 19 0} 
Flow 599: {80 167 0} 
Flow 630: {80 26 0} 
Flow 658: {57 144 0} 
Flow 688: {10 1 0} 
Flow 714: {10 20 0} 
Flow 718: {38 125 0} 
Flow 731: {53 54 0} 
Flow 757: {3 90 0} 
Flow 773: {20 4 0} 
Flow 782: {11 2 0} 
Flow 812: {73 160 0} 
Flow 876: {62 149 0} 
Flow 879: {67 154 0} 
Flow 895: {47 87 0} 
Flow 915: {23 110 0} 
Flow 937: {50 137 0} 
Flow 938: {20 9 0} 
Flow 949: {68 155 0} 
Flow 950: {14 56 0} 
Flow 954: {56 54 0} 
Flow 955: {14 12 0} 
Flow 997: {35 122 0} 
Flow 999: {28 37 0} 
Flow 1006: {15 13 0} 
Flow 1008: {47 134 0} 
Flow 1016: {15 12 0} 
Flow 1023: {12 16 0} 
Flow 1032: {13 40 0} 
Flow 1061: {17 63 0} 
Flow 1088: {43 41 0} 
Flow 1101: {16 60 0} 
Flow 1123: {17 12 0} 
Flow 1129: {18 3 0} 
Flow 1131: {1 5 0} 
Flow 1152: {18 9 0} 
Flow 1170: {19 8 0} 
Flow 1226: {19 9 0} 
Flow 1250: {11 98 0} 
Flow 1293: {59 146 0} 
Flow 1298: {66 65 0} 
Flow 1308: {46 77 0} 
Flow 1322: {4 91 0} 
