1680 0.00
2240 0.01
2800 0.01
224 0.00
704 0.00
1512 0.00
660 0.00
1980 0.00
2700 0.02
5472 0.02
6840 0.01
528 0.00
1485 0.00
1620 0.01
3672 0.00
7722 0.01
1170 0.00
4522 0.00
6825 0.01
10164 0.02
12936 0.02
1170 0.01
4095 0.00
14175 0.01
1716 0.00
6762 0.01
13600 0.03
16200 0.03
22400 0.04
17168 0.00
4830 0.00
8120 0.01
17200 0.02
25194 0.02
3510 0.00
6048 0.01
10672 0.01
30780 0.04
38880 0.04
3757 0.00
4590 0.00
5850 0.01
9240 0.01
17784 0.01
11760 0.01
17424 0.02
27702 0.05
28215 0.08
36936 0.05
1260 0.00
52200 0.03
22032 0.01
77440 0.05
14520 0.00
19152 0.03
30976 0.03
32604 0.38
41760 0.06
90992 0.09
52200 0.02
98280 0.11
123552 0.13
13122 0.01
16640 0.01
43884 0.02
72048 0.01
14400 0.01
54054 0.05
159250 0.36
145340 0.08
202800 0.56
18848 0.01
65016 0.04
52910 0.06
99264 0.18
114777 0.08
148770 0.06
208936 0.10
34188 0.01
31416 0.08
33264 0.03
83804 0.07
143444 0.30
169650 0.24
239512 0.18
24864 0.03
85410 0.09
89544 0.17
162288 0.13
228984 0.29
302400 0.27
24738 0.02
39744 0.03
102060 0.07
203040 0.25
53664 0.06
170100 0.59
258048 1.22
231840 0.37
344064 1.50
437760 1.45
31248 0.02
48672 0.04
91728 0.10
127008 0.19
86240 0.02
270538 0.08
306603 0.56
386694 0.28
739840 1.90
64350 0.25
232224 0.54
328440 0.29
60264 0.06
184992 0.12
306544 0.19
440300 4.72
555660 0.18
583848 0.27
97216 0.03
71760 0.09
69000 0.11
150480 0.05
260848 0.34
428040 0.32
622440 0.43
779760 0.47
119232 0.03
377720 0.42
632700 1.26
323456 0.12
547200 0.21
729600 0.08
927200 0.32
98040 0.06
362880 0.71
414400 0.39
764568 3.80
1072512 3.64
1340640 3.91
170520 0.17
414960 2.91
804384 1.35
982800 3.02
1375920 1.54
186480 0.13
241800 0.08
201144 0.55
884184 6.19
1253493 6.00
1646568 20.12
196044 0.22
221952 0.07
501165 0.49
840972 6.05
984960 0.95
1123320 1.09
1402632 0.77
212040 0.07
225828 0.09
554190 16.69
622380 1.52
817152 1.53
1257525 1.39
1288644 0.93
1675872 2.30
368298 0.09
1096272 1.78
367632 0.11
253080 0.51
779688 0.86
1266075 3.26
1726515 12.95
1485120 0.64
2464128 62.94
870240 0.63
1142640 8.71
1389850 1.32
1858080 26.86
1875900 0.97
2340000 2.17
423280 0.65
1047540 0.84
1553760 9.51
1659528 3.28
2202876 1.28
460506 0.18
547200 1.90
1429728 0.75
2364336 1.95
1838358 17.54
3150576 8.16
2558304 0.66
3942432 35.79
279072 0.21
1221226 0.99
1224726 4.86
1955124 1.50
2502024 2.68
3260088 2.52
492480 0.52
1105950 0.41
2261828 42.37
3354120 16.21
2936920 1.99
4191264 24.02
1912950 1.56
994952 0.14
1544400 1.46
3361274 3.34
4404114 44.50
5651520 23.15
646062 0.36
1503360 1.27
390108 0.21
1760880 0.64
1684900 0.41
1801683 0.43
2785392 4.25
2689692 8.08
2705091 0.67
4050720 4.81
3670095 1.35
3844800 0.79
5063400 3.13
621180 0.34
1848096 44.36
768366 1.46
3403800 8.31
4705056 1.78
4470000 5.50
5881320 2.64
3339140 41.38
1015696 0.37
2142288 2.29
2203747 2.55
3927528 5.56
4160835 10.06
5490048 12.37
4796064 3.30
7360200 18.45
6285312 4.32
1151584 0.49
4862780 4.20
8363520 42.45
1118936 0.27
3004992 2.32
4903990 23.78
4133850 10.92
6692400 9.18
6588648 2.37
6000995 6.76
1460250 1.47
10147368 3427.15
1113075 0.91
3424074 5.10
5342274 71.93
7872969 268.48
1204280 49.88
9496200 6.10
1626492 0.43
1552572 4.91
3380552 13.65
5136516 9.86
7338100 3.33
8663200 5.69
1289484 0.88
3036105 1.43
5183990 2.07
6871130 2.63
8636544 6.29
8318360 7.83
10795680 10.29
1852200 0.65
2052750 1.20
3872736 96.99
4059638 3.17
5894532 4.56
6104700 59.88
9048240 10.02
1687974 0.85
4095572 26.19
13161270 14.16
9227800 3.65
11433888 5.66
1971261 0.31
6310720 2.03
9332320 6.78
7163200 6.43
2016300 2.48
10944000 55.06
9841240 4.53
13784424 37.36
2202702 0.58
5207750 103.27
8210432 5.58
7394040 21.38
12774300 132.46
16414632 166.10
894306 0.31
1670922 5.61
3090248 1.68
5584281 85.57
5697720 4.47
8018816 8.94
9378061 105.72
8634780 28.87
8895744 30.26
10094592 21.88
2141184 1.27
5191680 5.82
16174080 126.91
20342400 142.42
1853280 1.94
9704448 142.26
16390160 104.58
21247840 67.78
7099888 5.58
11619072 14.71
14490924 47.25
19547892 174.81
24445512 3601.58
3493125 1.05
8762013 5.78
10926720 10.58
15415260 11.88
16166280 34.34
20812344 13.58
3203700 1.85
6344325 23.09
9000768 22.30
14682360 37.75
19585104 52.34
17499504 10.51
24474912 47.56
2526414 1.33
9725936 3.51
8604816 6.13
3289968 54.12
10057608 64.94
15382224 119.65
23975424 190.97
31006800 439.64
17377206 582.86
25450880 251.15
5211155 37.36
10608360 68.85
10983600 60.76
13471920 69.14
17619602 127.70
19415795 386.95
20085120 141.84
30196320 158.50
25749750 18.99
26017200 104.02
33136128 34.52
3613896 4.11
5300152 11.94
8507664 33.06
13394199 49.79
29008128 128.52
39817008 329.00
50248128 698.94
7042392 2.11
18434940 36.15
7272692 4.71
