Number of groups: 641
Flow 1: {1 10 0} 
Flow 36: {43 44 0} 
Flow 159: {174 76 0} 
Flow 169: {14 17 0} 
Flow 170: {19 216 0} 
Flow 174: {135 138 0} 
Flow 191: {52 51 0} 
Flow 191: {51 58 0} 
Flow 193: {56 53 0} 
Flow 213: {93 94 0} 
Flow 221: {107 304 0} 
Flow 248: {6 132 0} 
Flow 327: {46 45 0} 
Flow 330: {138 173 0} 
Flow 330: {173 98 0} 
Flow 343: {149 84 0} 
Flow 416: {20 217 0} 
Flow 454: {65 66 0} 
Flow 456: {78 153 0} 
Flow 472: {20 90 0} 
Flow 503: {128 325 0} 
Flow 507: {133 330 0} 
Flow 599: {88 81 0} 
Flow 622: {122 319 0} 
Flow 679: {13 210 0} 
Flow 683: {38 36 0} 
Flow 713: {67 264 0} 
Flow 723: {81 82 0} 
Flow 745: {10 9 0} 
Flow 766: {9 195 0} 
Flow 784: {166 363 0} 
Flow 793: {1 177 0} 
Flow 800: {9 192 0} 
Flow 812: {12 17 0} 
Flow 834: {60 257 0} 
Flow 883: {12 11 0} 
Flow 898: {11 14 0} 
Flow 919: {191 388 0} 
Flow 947: {35 232 0} 
Flow 959: {39 197 0} 
Flow 971: {13 31 0} 
Flow 1010: {113 112 0} 
Flow 1021: {70 61 0} 
Flow 1061: {154 155 0} 
Flow 1067: {180 179 0} 
Flow 1069: {102 181 0} 
Flow 1074: {38 161 0} 
Flow 1141: {86 283 0} 
Flow 1144: {184 93 0} 
Flow 1149: {100 297 0} 
Flow 1251: {63 87 0} 
Flow 1251: {87 81 0} 
Flow 1319: {17 12 0} 
Flow 1323: {17 18 0} 
Flow 1383: {17 14 0} 
Flow 1410: {127 324 0} 
Flow 1429: {149 346 0} 
Flow 1464: {18 17 0} 
Flow 1472: {20 19 0} 
Flow 1499: {30 27 0} 
Flow 1519: {89 286 0} 
Flow 1592: {187 384 0} 
Flow 1607: {21 22 0} 
Flow 1646: {22 27 0} 
Flow 1729: {184 381 0} 
Flow 1733: {189 52 0} 
Flow 1766: {155 149 0} 
Flow 1772: {174 77 0} 
Flow 1799: {176 121 0} 
Flow 1805: {23 189 0} 
Flow 1814: {139 336 0} 
Flow 1816: {97 98 0} 
Flow 1913: {71 184 0} 
Flow 1913: {79 80 0} 
Flow 1945: {112 141 0} 
Flow 1947: {24 21 0} 
Flow 1956: {80 71 0} 
Flow 2016: {93 184 0} 
Flow 2072: {79 95 0} 
Flow 2082: {151 150 0} 
Flow 2093: {163 360 0} 
Flow 2104: {30 79 0} 
Flow 2146: {28 27 0} 
Flow 2228: {80 277 0} 
Flow 2242: {107 104 0} 
Flow 2272: {29 55 0} 
Flow 2293: {188 164 0} 
Flow 2304: {175 8 0} 
Flow 2315: {32 38 0} 
Flow 2328: {90 151 0} 
Flow 2368: {92 289 0} 
Flow 2414: {34 33 0} 
Flow 2422: {35 38 0} 
Flow 2539: {73 270 0} 
Flow 2558: {31 13 0} 
Flow 2558: {104 105 0} 
Flow 2566: {113 310 0} 
Flow 2584: {36 38 0} 
Flow 2598: {152 349 0} 
Flow 2619: {108 106 0} 
Flow 2635: {11 208 0} 
Flow 2647: {24 221 0} 
Flow 2696: {154 153 0} 
Flow 2702: {19 20 0} 
Flow 2709: {93 290 0} 
Flow 2714: {99 296 0} 
Flow 2776: {197 182 0} 
Flow 2780: {169 366 0} 
Flow 2796: {189 386 0} 
Flow 2807: {10 207 0} 
Flow 2808: {14 11 0} 
Flow 2830: {170 186 0} 
Flow 2831: {42 239 0} 
Flow 2896: {131 128 0} 
Flow 2914: {36 31 0} 
Flow 2945: {37 39 0} 
Flow 2964: {40 37 0} 
Flow 2968: {40 182 0} 
Flow 2971: {182 166 0} 
Flow 3079: {144 186 0} 
