Number of groups: 528
Flow 1: {1 15} 
Flow 30: {19 42} 
Flow 38: {26 51} 
Flow 45: {15 95} 
Flow 112: {2 18} 
Flow 182: {21 170} 
Flow 191: {126 132} 
Flow 214: {58 207} 
Flow 221: {67 216} 
Flow 268: {116 265} 
Flow 352: {78 39} 
Flow 395: {132 281} 
Flow 451: {53 202} 
Flow 479: {83 232} 
Flow 525: {97 94} 
Flow 563: {29 178} 
Flow 578: {6 5} 
Flow 596: {12 99} 
Flow 624: {5 17} 
Flow 717: {55 56} 
Flow 728: {131 69} 
Flow 740: {81 230} 
Flow 752: {9 10} 
Flow 777: {8 9} 
Flow 788: {7 8} 
Flow 804: {15 1} 
Flow 878: {84 233} 
Flow 881: {95 18} 
Flow 898: {99 42} 
Flow 936: {146 147} 
Flow 983: {10 15} 
Flow 1045: {92 110} 
Flow 1081: {63 32} 
Flow 1145: {65 127} 
Flow 1176: {17 96} 
Flow 1185: {35 74} 
Flow 1214: {98 104} 
Flow 1288: {40 189} 
Flow 1325: {12 101} 
Flow 1397: {13 118} 
Flow 1468: {126 133} 
Flow 1514: {148 147} 
Flow 1541: {48 197} 
Flow 1551: {118 59} 
Flow 1567: {79 228} 
Flow 1578: {148 137} 
Flow 1589: {14 148} 
Flow 1748: {18 133} 
Flow 1774: {13 162} 
Flow 1776: {16 126} 
Flow 1864: {16 132} 
Flow 1871: {120 269} 
Flow 1871: {132 131} 
Flow 1885: {135 284} 
Flow 1940: {45 49} 
Flow 1959: {70 219} 
Flow 1997: {96 12} 
Flow 2014: {127 276} 
Flow 2077: {51 200} 
Flow 2082: {29 55} 
Flow 2186: {19 104} 
Flow 2208: {104 100} 
Flow 2227: {143 59} 
Flow 2245: {20 143} 
Flow 2348: {8 7} 
Flow 2451: {126 71} 
Flow 2480: {2 151} 
Flow 2506: {22 27} 
Flow 2527: {23 143} 
Flow 2532: {34 62} 
Flow 2544: {28 145} 
Flow 2563: {96 245} 
Flow 2770: {80 87} 
Flow 2790: {87 130} 
Flow 2815: {24 22} 
Flow 2817: {101 98} 
Flow 2832: {24 23} 
Flow 2937: {21 142} 
Flow 2951: {107 256} 
Flow 3072: {90 89} 
Flow 3072: {89 238} 
Flow 3098: {117 266} 
Flow 3149: {32 181} 
Flow 3150: {27 28} 
Flow 3174: {145 21} 
Flow 3207: {131 115} 
Flow 3256: {127 31} 
Flow 3265: {4 3} 
Flow 3310: {90 239} 
Flow 3323: {125 132} 
Flow 3442: {51 26} 
Flow 3458: {106 255} 
Flow 3564: {87 236} 
Flow 3593: {30 140} 
Flow 3636: {31 127} 
Flow 3757: {32 73} 
Flow 3807: {42 105} 
Flow 3812: {115 116} 
Flow 3829: {32 63} 
Flow 3899: {61 210} 
Flow 4012: {71 40} 
Flow 4054: {86 83} 
Flow 4069: {42 99} 
Flow 4080: {122 111} 
Flow 4082: {81 21} 
Flow 4110: {53 144} 
Flow 4158: {21 82} 
Flow 4161: {73 124} 
Flow 4167: {60 209} 
Flow 4189: {124 132} 
Flow 4199: {35 73} 
Flow 4250: {1 150} 
Flow 4269: {33 130} 
Flow 4270: {22 24} 
Flow 4292: {36 33} 
Flow 4297: {87 80} 
Flow 4410: {38 76} 
Flow 4472: {39 78} 
Flow 4473: {123 77} 
Flow 4476: {38 123} 
Flow 4599: {78 71} 
Flow 4670: {71 121} 
Flow 4683: {40 71} 
Flow 4760: {102 42} 
Flow 4762: {52 118} 
Flow 4785: {68 108} 
Flow 4789: {43 44} 
Flow 4811: {41 66} 
Flow 4858: {132 125} 
Flow 4894: {18 2} 
Flow 4923: {34 183} 
Flow 4945: {57 206} 
Flow 4951: {63 212} 
Flow 4998: {42 106} 
Flow 5063: {81 80} 
Flow 5097: {149 134} 
Flow 5185: {134 21} 
Flow 5186: {44 43} 
Flow 5189: {149 145} 
Flow 5195: {125 124} 
Flow 5261: {43 149} 
Flow 5271: {77 123} 
Flow 5287: {44 138} 
Flow 5326: {46 129} 
Flow 5332: {134 149} 
Flow 5339: {45 46} 
